s,rho,L,cyc0,cyc1,cyc2,cyc3,cov1,cov2,cov3,krms,kmax,dq10,dq25,dq50,dq75,dq90
0.000000000000000000e+00,-1.671138957942589487e-01,1.034215694928354168e+01,5.369116309203841864e-02,4.689859350585099534e-02,7.995595872955806038e-02,6.186983324200669154e-02,5.530818688244221182e-01,4.048648380462410157e-01,4.205329312933660246e-02,3.040855414670656565e+00,2.476073242093856308e+01,3.993672142290370930e-01,8.237705908500928542e-01,1.284000245788940564e+00,1.755226256235231874e+00,2.131386643490372101e+00
1.000000000000000021e-02,-9.152258127229158380e-02,1.040790448259138756e+01,6.270099859545338883e-02,5.356794731645958541e-02,5.316014817278073151e-02,3.503588332362286839e-02,5.238976797115941775e-01,4.439879065511279643e-01,3.211441373727782350e-02,2.327842384970702394e+00,1.049694705400778361e+01,4.395752695397627807e-01,8.405514343521263143e-01,1.291034864268379323e+00,1.748097500360953127e+00,2.109565542163163165e+00
2.000000000000000042e-02,-9.049273403922664105e-02,1.041183710458088818e+01,6.159717551122109724e-02,5.347798002632887793e-02,5.257206685439090588e-02,3.471395180282826204e-02,5.234209309814685795e-01,4.444107313730282227e-01,3.216833764550331570e-02,2.322894654183091490e+00,1.043514883502191459e+01,4.395930586918147531e-01,8.432737206630634974e-01,1.290847022627298335e+00,1.749242423148161363e+00,2.109113569202378358e+00
2.999999999999999889e-02,-8.949573837031622736e-02,1.042019928182967448e+01,6.050818292736584447e-02,5.342548499630306313e-02,5.196640526007521854e-02,3.476310321924395985e-02,5.232585202519990375e-01,4.444957922592665533e-01,3.224568748873415935e-02,2.320958439438162380e+00,1.041122637075664237e+01,4.400045040578537958e-01,8.425596920886930796e-01,1.290668870275057944e+00,1.749686919737637458e+00,2.106815769003969052e+00
4.000000000000000083e-02,-8.849457407709919454e-02,1.042920701840217035e+01,5.941344667578164762e-02,5.336973930663753418e-02,5.136623972281001427e-02,3.480239031206390499e-02,5.231351592926906102e-01,4.445377110951359567e-01,3.232712961217396042e-02,2.319624506401401831e+00,1.038421761074275196e+01,4.407640932624169450e-01,8.422575537167160675e-01,1.289829926291858664e+00,1.750755371710470465e+00,2.106244116597133953e+00
5.000000000000000278e-02,-8.749299918925988739e-02,1.043865663309912328e+01,5.831763834592545298e-02,5.330666661113245275e-02,5.076719904565561714e-02,3.479450192334648112e-02,5.230320349347152842e-01,4.445572381470903611e-01,3.241072691819419510e-02,2.318777847760276511e+00,1.035215094871700003e+01,4.414911294258254681e-01,8.408662869414057495e-01,1.288563101841800673e+00,1.752109129501162155e+00,2.106964363197250112e+00
5.999999999999999778e-02,-8.649201549487733898e-02,1.044850337107098071e+01,5.722567996260752993e-02,5.323599969431971890e-02,5.017000902005484125e-02,3.473236308550563256e-02,5.229469672513306078e-01,4.445574671334593941e-01,3.249556561521024789e-02,2.318403240100551432e+00,1.031447298249897138e+01,4.431503009490110889e-01,8.405758866210528701e-01,1.285705826342406155e+00,1.751906696336678948e+00,2.108146855879688975e+00
7.000000000000000666e-02,-8.549249339414195792e-02,1.045872869394580640e+01,5.614248429527150808e-02,5.315772888832761417e-02,4.957554596371121364e-02,3.461625328007579550e-02,5.228790669054147466e-01,4.445397724109279025e-01,3.258116068365759371e-02,2.318496742959751167e+00,1.027094199119598450e+01,4.434032728474990304e-01,8.399510028110767079e-01,1.286247325490038174e+00,1.752702000738860066e+00,2.107403113782849502e+00
8.000000000000000167e-02,-8.449544688235741119e-02,1.046931902560605998e+01,5.507287719555347544e-02,5.307185713167141689e-02,4.898464358651830053e-02,3.444850908464017897e-02,5.228274845338348742e-01,4.445053387312992710e-01,3.266717673486589646e-02,2.319055986010789105e+00,1.022136834866680033e+01,4.449328628852028400e-01,8.420543806254559005e-01,1.286098309740627332e+00,1.752993227606417959e+00,2.106266008833915571e+00
8.999999999999999667e-02,-8.350197972223112608e-02,1.048026175408601901e+01,5.402156629825981271e-02,5.297840060665900963e-02,4.839812460214110157e-02,3.423217576561841252e-02,5.227913790364043800e-01,4.444552703413005568e-01,3.275335062229509792e-02,2.320078389778169381e+00,1.016554950496050758e+01,4.444505523928017343e-01,8.419654660616519015e-01,1.286820874612930821e+00,1.753762141816248787e+00,2.105022609133777145e+00
1.000000000000000056e-01,-8.251319435322460039e-02,1.049154461563927754e+01,5.299310741610283038e-02,5.287739637355919065e-02,4.781679778444178353e-02,3.397059485422258829e-02,5.227699814923518762e-01,4.443905462623131686e-01,3.283947224533463605e-02,2.321560608572127649e+00,1.010324909601597909e+01,4.457312315240924971e-01,8.425978506789568723e-01,1.285915373078974966e+00,1.754219827903944928e+00,2.105193224602073698e+00
1.100000000000000006e-01,-8.153010161233109621e-02,1.050315578664149818e+01,5.199183357888693957e-02,5.276890375880990969e-02,4.724144054611899290e-02,3.366722214626410858e-02,5.227626521876321819e-01,4.443119697569907767e-01,3.292537805537678469e-02,2.323498315876486586e+00,1.003418612696719059e+01,4.463204739599311299e-01,8.421407989532821992e-01,1.283759946813169517e+00,1.754423588891405927e+00,2.105380470266211557e+00
1.199999999999999956e-01,-8.055354202291122034e-02,1.051508409031916003e+01,5.102173430374642299e-02,5.265300134818760164e-02,4.667278150422973781e-02,3.332551624187812117e-02,5.227689207926351500e-01,4.442201333132916319e-01,3.301094589407325974e-02,2.325886174186686528e+00,9.958027329670603223e+00,4.470284373656531196e-01,8.411472867758820193e-01,1.284096444262963210e+00,1.753754573071944822e+00,2.106687441614603973e+00
1.300000000000000044e-01,-7.958412570676798303e-02,1.052731917905178172e+01,5.008628724970637380e-02,5.252978126666463937e-02,4.611148781218937093e-02,3.294886472936951055e-02,5.227885090844495153e-01,4.441154017686126942e-01,3.309608914693766557e-02,2.328717936740841932e+00,9.874382239969731856e+00,4.483681418977618627e-01,8.399387532485197427e-01,1.283970080334209563e+00,1.755377830296508401e+00,2.107661580724045081e+00
1.400000000000000133e-01,-7.862219531965872199e-02,1.053985166648867455e+01,4.918825548979152695e-02,5.239934186424922979e-02,4.555815794420691595e-02,3.254054251846821150e-02,5.228213376972510318e-01,4.439979117538054854e-01,3.318075054894312897e-02,2.331986642917400765e+00,9.782802008350984124e+00,4.503258316061086730e-01,8.399536600026720201e-01,1.282143331700260180e+00,1.754919772669981448e+00,2.107166058106353823e+00
1.499999999999999944e-01,-7.766781348521957506e-02,1.055267321865191654e+01,4.832947229963083929e-02,5.226177957675202934e-02,4.501331886754857126e-02,3.210370088381753195e-02,5.228675195548233567e-01,4.438675840048105226e-01,3.326489644036632193e-02,2.335684871722655043e+00,9.682783134220015242e+00,4.507025786699337955e-01,8.413201682571496143e-01,1.281213590929620061e+00,1.755975344493724055e+00,2.106660874076952794e+00
1.600000000000000033e-01,-7.672077341186385457e-02,1.056577662732813572e+01,4.751064097128195052e-02,5.211718047634698175e-02,4.447742578003922864e-02,3.164138465072284523e-02,5.229273432935394039e-01,4.437241445301797205e-01,3.334851217627999437e-02,2.339805022763910891e+00,9.573777084534803805e+00,4.519136528603179825e-01,8.418444715059640870e-01,1.281327761698271672e+00,1.756309153060058748e+00,2.106377607922875317e+00
1.700000000000000122e-01,-7.578062901327224654e-02,1.057915589501180698e+01,4.673117896457486958e-02,5.196561184556337115e-02,4.395086243047559987e-02,3.115657299505995848e-02,5.230012501819919502e-01,4.435671507105908296e-01,3.343159910741710233e-02,2.344339602400970168e+00,9.455206353379113082e+00,4.529947063639062077e-01,8.393469935597538401e-01,1.280596443891899305e+00,1.757474884952327843e+00,2.105958720656013305e+00
1.799999999999999933e-01,-7.484673905386528270e-02,1.059280636083920513e+01,4.598913333413733040e-02,5.180711400919872645e-02,4.343394032864075077e-02,3.065223758219797617e-02,5.230898078806571760e-01,4.433960189151479048e-01,3.351417320419486368e-02,2.349281502178907743e+00,9.326487021900261354e+00,4.545585537078555838e-01,8.398007070514288408e-01,1.281856950752138680e+00,1.757952284901419748e+00,2.106431497329945834e+00
1.900000000000000022e-01,-7.391831866384908356e-02,1.060672489170733179e+01,4.528118796600777429e-02,5.164169264217664118e-02,4.292689576689000946e-02,3.013141044079234096e-02,5.231936839719125709e-01,4.432100509668490673e-01,3.359626506123784134e-02,2.354624264392664479e+00,9.187057338032504461e+00,4.535228472433775471e-01,8.390762857649810558e-01,1.282285083538045045e+00,1.759752187854783045e+00,2.106251855936001505e+00
2.000000000000000111e-01,-7.299449102962621283e-02,1.062091015249788661e+01,4.460277345733199006e-02,5.146931182295107210e-02,4.242988437934916424e-02,2.959725302653502810e-02,5.233136216355723791e-01,4.430084576178781042e-01,3.367792074654953061e-02,2.360362333539067770e+00,9.036411298538110870e+00,4.542905874213277184e-01,8.396503657770638673e-01,1.281938785525299496e+00,1.760902158635371473e+00,2.106033956898909487e+00
2.099999999999999922e-01,-7.207433215742536925e-02,1.063536295510659890e+01,4.394827879544924154e-02,5.128988818950194761e-02,4.194297379714041762e-02,2.905311729391897926e-02,5.234504192314103355e-01,4.427903779859663769e-01,3.375920278262337787e-02,2.366491291405735886e+00,8.950669924640305197e+00,4.550962384109570880e-01,8.403171475523099065e-01,1.282262476608758917e+00,1.761869011295616794e+00,2.106029189634866405e+00
