radius_ratio_q,sum_Gamma_upper_bound_CA_K_sum_r3,sum_r3
9.000000000000000222e-01,5.796296408837257275e+01,3.690036900369004336e+00
6.999999999999999556e-01,2.390861989033328072e+01,1.522070015220699846e+00
5.000000000000000000e-01,1.795195802051309997e+01,1.142857142857142794e+00
2.999999999999999889e-01,1.614384714074919458e+01,1.027749229188078317e+00
