N,core,rho0,mincyc0,reach0,spacing0,first_fail_s,first_overlap_before_fail,reach_at_fail,spacing_at_fail,elapsed_s
256,0.05,-0.015274242691919085,0.028984162688047772,0.10084285562200179,0.04091434745577036,0.45,,0.14219524906649023,0.04262638706156976,15.132335424423218
320,0.04,-0.018422293422923397,0.02882957017101356,0.10257522728544896,0.03273941456697752,0.435,,0.16091974122243233,0.034069805631475554,8.940978050231934
384,0.03,-0.022485789613548662,0.02873000921960455,0.09796966426225842,0.027286438836409826,0.375,,0.16316816682348304,0.028319274621440193,11.139666080474854
