s,logR_cumulative
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-1.293182385332752610e-03
2.000000000000000042e-02,-2.203258961890343891e-03
2.999999999999999889e-02,-3.103201323938058111e-03
4.000000000000000083e-02,-3.993152886175135689e-03
5.000000000000000278e-02,-4.873090752506930960e-03
5.999999999999999778e-02,-5.743015825927616849e-03
7.000000000000000666e-02,-6.602938370372714305e-03
8.000000000000000167e-02,-7.452878071755210734e-03
8.999999999999999667e-02,-8.292865204778152727e-03
1.000000000000000056e-01,-9.122941075155432955e-03
1.100000000000000006e-01,-9.943157554983211507e-03
1.199999999999999956e-01,-1.075357577315942323e-02
1.300000000000000044e-01,-1.155426411180781980e-02
1.400000000000000133e-01,-1.234529571693995451e-02
1.499999999999999944e-01,-1.312674576096434405e-02
1.600000000000000033e-01,-1.389868869544976134e-02
1.700000000000000122e-01,-1.466119570757544281e-02
1.799999999999999933e-01,-1.541433254791112900e-02
1.900000000000000022e-01,-1.615815783649970222e-02
2.000000000000000111e-01,-1.689272188496707822e-02
2.099999999999999922e-01,-1.761806600090233543e-02
2.200000000000000011e-01,-1.833422217318106395e-02
2.300000000000000100e-01,-1.904121297879673297e-02
2.399999999999999911e-01,-1.973905150754438551e-02
2.500000000000000000e-01,-2.042774107354752844e-02
2.600000000000000089e-01,-2.110727447395396861e-02
2.700000000000000178e-01,-2.177763256693585406e-02
2.800000000000000266e-01,-2.243878197670039903e-02
2.899999999999999800e-01,-2.309067179802861552e-02
2.999999999999999889e-01,-2.373322927277011357e-02
3.099999999999999978e-01,-2.436635454678224080e-02
3.200000000000000067e-01,-2.498991477692427340e-02
3.300000000000000155e-01,-2.560373801485330350e-02
3.400000000000000244e-01,-2.620760740048421952e-02
3.500000000000000333e-01,-2.680125619629382394e-02
3.599999999999999867e-01,-2.738436403498122756e-02
3.699999999999999956e-01,-2.795655442511807073e-02
3.800000000000000044e-01,-2.851739313287236788e-02
3.900000000000000133e-01,-2.906638673585980326e-02
4.000000000000000222e-01,-2.960298075991872613e-02
4.100000000000000311e-01,-3.012655767609654506e-02
4.199999999999999845e-01,-3.063643665022016890e-02
4.299999999999999933e-01,-3.113187870846583979e-02
4.400000000000000022e-01,-3.161210179083137617e-02
4.500000000000000111e-01,-3.207630896104581714e-02
4.600000000000000200e-01,-3.252372982471925938e-02
4.700000000000000289e-01,-3.295367130639988151e-02
4.799999999999999822e-01,-3.336557017510703715e-02
4.899999999999999911e-01,-3.375903591394389253e-02
5.000000000000000000e-01,-3.413387333994702399e-02
5.100000000000000089e-01,-3.449008501764738721e-02
5.200000000000000178e-01,-3.482785210870432274e-02
5.300000000000000266e-01,-3.514743731987567815e-02
5.400000000000000355e-01,-3.544888586016785303e-02
5.500000000000000444e-01,-3.573150196274153118e-02
5.600000000000000533e-01,-3.599342262135625525e-02
5.700000000000000622e-01,-3.623189439237691628e-02
5.799999999999999600e-01,-3.644463414565685816e-02
5.899999999999999689e-01,-3.663127333223643173e-02
5.999999999999999778e-01,-3.679238334973649466e-02
6.099999999999999867e-01,-3.692661251505623826e-02
6.199999999999999956e-01,-3.702994121169658759e-02
6.300000000000000044e-01,-3.709796772682275728e-02
6.400000000000000133e-01,-3.713030297464170459e-02
6.500000000000000222e-01,-3.713406236003294336e-02
6.600000000000000311e-01,-3.711847347542416437e-02
6.700000000000000400e-01,-3.708456487968728177e-02
6.800000000000000488e-01,-3.701930280995357342e-02
6.900000000000000577e-01,-3.689782023255248899e-02
7.000000000000000666e-01,-3.671823298967662880e-02
7.099999999999999645e-01,-3.649508499460873967e-02
7.199999999999999734e-01,-3.621708601910382519e-02
