t,cyc0,cyc1,cyc2,cyc3,total0,total1,total2,total3,rg2,rg2dot,length,b0,b1,b2,b3,a0_over_Rg,a1_over_Rg,a2_over_Rg,a3_over_Rg
0.000000000000000000e+00,4.430088114713121722e-02,4.022682116704996008e-02,6.687025761169192173e-02,5.891911453611303057e-02,5.118492081346856515e-02,-1.913673097790806743e-01,7.964827809235770772e-02,-2.116344333579793860e-02,9.999999999999997780e-01,-1.459758360958142986e-01,1.034215694928354168e+01,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01
2.500000000000000052e-03,4.423707899569538637e-02,4.029959902272056693e-02,6.693905178624379171e-02,5.906110448262565787e-02,5.183052107063001318e-02,-1.906398785791512118e-01,7.971461986196641536e-02,-1.993111999678646301e-02,9.996354595245378061e-01,-1.456565140367926114e-01,1.034222819031336549e+01,2.249810281064379067e-02,2.251174674994458128e-02,2.249651826376029840e-02,2.250215583897278299e-02,1.500210227621352754e-01,1.500665058748281155e-01,1.500157396604486215e-01,1.500345352809071831e-01
5.000000000000000104e-03,4.417324389070081264e-02,4.037237680616675983e-02,6.700762077886923684e-02,5.920151832168134287e-02,5.247567666788577334e-02,-1.899138160070749926e-01,7.978063755942635393e-02,-1.869897161711886122e-02,9.992717175806283825e-01,-1.453370110033894436e-01,1.034231550519290721e+01,2.249616956999498166e-02,2.252345818919368470e-02,2.249303349965268983e-02,2.250424246361591371e-02,1.500418777386977320e-01,1.501328531097006203e-01,1.500314191074741677e-01,1.500687970652350434e-01
7.499999999999999722e-03,4.410937784141843315e-02,4.044515406280645847e-02,6.707596493247541813e-02,5.934034432272988074e-02,5.312038204227050725e-02,-1.891891112481860204e-01,7.984633148272700376e-02,-1.746703463347791183e-02,9.989087746195750572e-01,-1.450173279058950548e-01,1.034241887704597573e+01,2.249420031415323012e-02,2.253513433517894543e-02,2.248954572764558235e-02,2.250625986860051858e-02,1.500625648561023096e-01,1.501990416389420990e-01,1.500470382911062994e-01,1.501027851164226934e-01
1.000000000000000021e-02,4.404548285765523541e-02,4.051793033293186325e-02,6.714408459074026891e-02,5.947757094548652979e-02,5.376463163498779868e-02,-1.884657535421044583e-01,7.991170193215406392e-02,-1.623534531609835754e-02,9.985466310903762244e-01,-1.446974656767330003e-01,1.034253828892039095e+01,2.249219507969379625e-02,2.254677520504386884e-02,2.248605496767960149e-02,2.250820805128569968e-02,1.500830840425468327e-01,1.502650713958033624e-01,1.500625971615563992e-01,1.501364992063630999e-01
1.250000000000000069e-02,4.398156094951442135e-02,4.059070515170863647e-02,6.721198009815199104e-02,5.961318684157546066e-02,5.440841989355699182e-02,-1.877437321832424177e-01,7.997674921032282835e-02,-1.500393976025111466e-02,9.981852874396732744e-01,-1.443774252701542360e-01,1.034267372378840832e+01,2.249015390366659872e-02,2.255838081564467273e-02,2.248256123966745415e-02,2.251008701170957929e-02,1.501034352280170847e-01,1.503309423124720712e-01,1.500780956692220613e-01,1.501699391153859253e-01
1.499999999999999944e-02,4.391761412715434326e-02,4.066347804917555542e-02,6.727965180004692736e-02,5.974718085611398916e-02,5.505174127395357636e-02,-1.870230365212877943e-01,8.004147362221003537e-02,-1.377285387786196698e-02,9.978247441116941951e-01,-1.440572076619295872e-01,1.034282516454718426e+01,2.248807682359513574e-02,2.256995118355116861e-02,2.247906456349377594e-02,2.251189675257974851e-02,1.501236183442917760e-01,1.503966543200838113e-01,1.500935337646920331e-01,1.502031046322390428e-01
1.750000000000000167e-02,4.385364440054730778e-02,4.073624855024542829e-02,6.734710004264618521e-02,5.987954202923867486e-02,5.569459024274204390e-02,-1.863036559616636778e-01,8.010587547518399631e-02,-1.254212338927025196e-02,9.974650015482013909e-01,-1.437368138490401070e-01,1.034299259401928239e+01,2.248596387747528458e-02,2.258148632504770187e-02,2.247556495901499932e-02,2.251363727926316075e-02,1.501436333249466515e-01,1.504622073487332790e-01,1.501089113987507662e-01,1.502359955540676639e-01
2.000000000000000042e-02,4.378965377923708935e-02,4.080901617470644727e-02,6.741432517309027539e-02,6.001025959757302908e-02,5.633696127919881474e-02,-1.855855799659658356e-01,8.016995507903254548e-02,-1.131178381513274489e-02,9.971060601884385033e-01,-1.434162448493663811e-01,1.034317599495326867e+01,2.248381510377396586e-02,2.259298625613413367e-02,2.247206244605919404e-02,2.251530859977543889e-02,1.501634801053584600e-01,1.505276013274853553e-01,1.501242285223831074e-01,1.502686116863922450e-01
2.249999999999999917e-02,4.372564427209607585e-02,4.088178043722478366e-02,6.748132753947284901e-02,6.013932299563814338e-02,5.697884887742516585e-02,-1.848687980523768537e-01,8.023371274599030989e-02,-1.008187046847467370e-02,9.967479204690790073e-01,-1.430955017013756936e-01,1.034337535002431707e+01,2.248163054142768291e-02,2.260445099252687134e-02,2.246855704442592833e-02,2.251691072476963429e-02,1.501831586227081738e-01,1.505928361843865970e-01,1.501394850867787956e-01,1.503009528430838959e-01
