t,alpha_3to0,alpha_0to1,alpha_1to2,alpha_2to3,rg2dot,length,L_over_Rg,u_rms
9.500000000000000666e-01,2.807958419230668565e-02,6.017101819912164251e-02,7.928767200325440023e-02,4.802561692913245167e-02,-3.167240106556588886e-02,1.134858179974957970e+01,1.185770713689862532e+01,3.835369362711701924e-01
9.599999999999999645e-01,2.802018327988857124e-02,6.020711641064165065e-02,7.926058014117570716e-02,4.844136747095192236e-02,-3.048241034372183370e-02,1.136816334007303730e+01,1.188018271553918837e+01,3.835430546459639434e-01
9.699999999999999734e-01,2.796192342930899424e-02,6.023740209965708359e-02,7.922989429894929103e-02,4.887829017638422452e-02,-2.928954605339543354e-02,1.138791823442625706e+01,1.190276999613832665e+01,3.835460200973828671e-01
9.799999999999999822e-01,2.790474604845731565e-02,6.026180324532146720e-02,7.919561256472755495e-02,4.933556060701623641e-02,-2.809359297865641689e-02,1.140784662279076578e+01,1.192546850853422846e+01,3.835458022383096965e-01
9.899999999999999911e-01,2.784859414314073967e-02,6.028024928373694469e-02,7.915773510194913654e-02,4.981230934327209037e-02,-2.689433513723076680e-02,1.142794866979988555e+01,1.194827778922042505e+01,3.835423702695693882e-01
1.000000000000000000e+00,2.779341250395480842e-02,6.029267145559060598e-02,7.911626420254441738e-02,5.030762304746017738e-02,-2.569155625344583110e-02,1.144822456498410546e+01,1.197119738146541401e+01,3.835356929978320228e-01
1.010000000000000009e+00,2.773914789336591469e-02,6.029900319576384643e-02,7.907120433360749490e-02,5.082054562204010167e-02,-2.448504024977181739e-02,1.146867452300357115e+01,1.199422683544925405e+01,3.835257388675542001e-01
1.020000000000000018e+00,2.768574923252856840e-02,6.029918056736816717e-02,7.902256217747054279e-02,5.135007948769598762e-02,-2.327457175607641066e-02,1.148929878386379322e+01,1.201736570841476137e+01,3.835124760068486793e-01
1.030000000000000027e+00,2.763316778735156604e-02,6.029314274214740699e-02,7.897034666512924017e-02,5.189518700539317436e-02,-2.205993663553815903e-02,1.151009761311077995e+01,1.204061356483097001e+01,3.834958722869625802e-01
1.040000000000000036e+00,2.758135735331886107e-02,6.028083252849549684e-02,7.891456900297172394e-02,5.245479206532768779e-02,-2.084092252598652648e-02,1.153107130200211472e+01,1.206396997656680092e+01,3.834758953948234073e-01
1.050000000000000044e+00,2.753027443856117390e-02,6.026219694746273725e-02,7.885524269277000009e-02,5.302778186356879586e-02,-1.961731939525965945e-02,1.155222016765064907e+01,1.208743452307296451e+01,3.834525129178790182e-01
1.060000000000000053e+00,2.747987844466318400e-02,6.023718785605252507e-02,7.879238354489133400e-02,5.361300888429811062e-02,-1.838892010898957735e-02,1.157354455313793373e+01,1.211100679157051196e+01,3.834256924402231204e-01
1.070000000000000062e+00,2.743013184468090504e-02,6.020576261584367067e-02,7.872600968468564109e-02,5.420929310194861489e-02,-1.715552100904435898e-02,1.159504482759462718e+01,1.213468637724450261e+01,3.833954016487544636e-01
1.080000000000000071e+00,2.738100035782882816e-02,6.016788480351451668e-02,7.865614155200439939e-02,5.481542441333291105e-02,-1.591692250067720457e-02,1.161672138624544282e+01,1.215847288344140686e+01,3.833616084478910779e-01
1.090000000000000080e+00,2.733245312028394908e-02,6.012352495820857956e-02,7.858280189380342784e-02,5.543016530515845058e-02,-1.467292964625395782e-02,1.163857465041653327e+01,1.218236592186918088e+01,3.833242810811417489e-01
1.100000000000000089e+00,2.728446285153690240e-02,6.007266135888317260e-02,7.850601574978427477e-02,5.605225375728171977e-02,-1.342335276325550865e-02,1.166060506750338277e+01,1.220636511279890790e+01,3.832833882576381912e-01
1.110000000000000098e+00,2.723700601570427232e-02,6.001528082285553095e-02,7.842581043103132032e-02,5.668040637680864247e-02,-1.216800802407930725e-02,1.168281311089749686e+01,1.223047008526705071e+01,3.832388992815701778e-01
1.120000000000000107e+00,2.719006297719862159e-02,5.995137951474106136e-02,7.834221549161114739e-02,5.731332175285659691e-02,-1.090671805499779032e-02,1.170519927987049691e+01,1.225468047727746068e+01,3.831907841823325445e-01
1.130000000000000115e+00,2.714361815013497173e-02,5.988096375290869605e-02,7.825526269311509908e-02,5.794968401660325480e-02,-9.639312531469759401e-03,1.172776409941434395e+01,1.227899593600224293e+01,3.831390138431177150e-01
1.140000000000000124e+00,2.709766014083427391e-02,5.980405079851948413e-02,7.816498596214627170e-02,5.858816658631491731e-02,-8.365628766846055359e-03,1.175050812003658329e+01,1.230341611798059986e+01,3.830835601256558087e-01
1.150000000000000133e+00,2.705218188276698604e-02,5.972066961022440973e-02,7.807142134078222384e-02,5.922743607250404579e-02,-7.085512291366181589e-03,1.177343191750985518e+01,1.232794068931487175e+01,3.830243959888429695e-01
1.159999999999999920e+00,2.700718076326377032e-02,5.963086154574562259e-02,7.797460693007872423e-02,5.986615631434502593e-02,-5.798817418205075118e-03,1.179653609257487368e+01,1.235256932586275447e+01,3.829614955990983671e-01
1.169999999999999929e+00,2.696265874130574294e-02,5.953468098993108110e-02,7.787458282672685139e-02,6.050299251507978981e-02,-4.505407793206767965e-03,1.181982127059647603e+01,1.237730171342485086e+01,3.828948344304639595e-01
1.179999999999999938e+00,2.691862245569387121e-02,5.943219588752988308e-02,7.777139105302420530e-02,6.113661544146272581e-02,-3.205156924832005920e-03,1.184328810117252750e+01,1.240213754792666201e+01,3.828243893527074060e-01
1.189999999999999947e+00,2.687508332288868554e-02,5.932348815796579383e-02,7.766507548038087405e-02,6.176570565038898980e-02,-1.897948690755082903e-03,1.186693725769563024e+01,1.242707653559399184e+01,3.827501387060073257e-01
1.199999999999999956e+00,2.683205762380575995e-02,5.920865396887762394e-02,7.755568174664206893e-02,6.238895770475899605e-02,-5.836778174737572000e-04,1.189076943686801968e+01,1.245211839312101887e+01,3.826720623611915562e-01
1.209999999999999964e+00,2.678956657885065568e-02,5.908780384521164497e-02,7.744325716757624600e-02,6.300508434037138672e-02,7.377496707514225038e-04,1.191478535817027584e+01,1.247726284783013639e+01,3.825901417649549274e-01
1.219999999999999973e+00,2.674763641048176488e-02,5.896106259127975591e-02,7.732785064294404875e-02,6.361282054619295245e-02,2.066416037331957143e-03,1.193898576328495231e+01,1.250250963782295344e+01,3.825043599700011510e-01
1.229999999999999982e+00,2.670629839259748561e-02,5.882856900449087711e-02,7.720951255762775745e-02,6.421092752169042794e-02,3.402391456852226024e-03,1.196337141547655492e+01,1.252785851212192192e+01,3.824147016506142527e-01
1.239999999999999991e+00,2.666558888605942076e-02,5.869047536148063599e-02,7.708829467836528226e-02,6.479819647697031282e-02,4.745733680280656702e-03,1.198794309892995535e+01,1.255330923080235372e+01,3.823211531047734368e-01
