n,Gamma,delta,Re,core_over_delta,a,U,tau,stage_energy_proxy,omega_proxy
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000111e-01,2.000000000000000000e+00,7.071067811865475727e-01,1.414213562373095312e-01,1.000000000000000000e+01,2.000000000000000389e-02,8.000000000000000444e-01,9.999999999999995737e+01
2.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000083e-02,4.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000042e-02,1.000000000000000000e+02,4.000000000000000192e-04,6.400000000000000133e-01,1.000000000000000000e+04
3.000000000000000000e+00,8.000000000000000000e+00,8.000000000000001901e-03,8.000000000000000000e+00,3.535533905932737864e-01,2.828427124746190919e-03,9.999999999999997726e+02,8.000000000000003026e-06,5.120000000000001217e-01,9.999999999999994179e+05
4.000000000000000000e+00,1.600000000000000000e+01,1.600000000000000294e-03,1.600000000000000000e+01,2.500000000000000000e-01,4.000000000000000734e-04,9.999999999999998181e+03,1.600000000000000563e-07,4.096000000000000751e-01,9.999999999999997020e+07
5.000000000000000000e+00,3.200000000000000000e+01,3.200000000000000804e-04,3.200000000000000000e+01,1.767766952966368932e-01,5.656854249492381811e-05,9.999999999999997090e+04,3.200000000000001771e-09,3.276800000000000823e-01,9.999999999999994278e+09
6.000000000000000000e+00,6.400000000000000000e+01,6.400000000000002421e-05,6.400000000000000000e+01,1.250000000000000000e-01,8.000000000000003026e-06,9.999999999999996508e+05,6.400000000000005041e-11,2.621440000000000992e-01,9.999999999999992676e+11
7.000000000000000000e+00,1.280000000000000000e+02,1.280000000000000450e-05,1.280000000000000000e+02,8.838834764831844659e-02,1.131370849898476548e-06,9.999999999999996275e+06,1.280000000000000806e-12,2.097152000000000738e-01,9.999999999999990625e+13
8.000000000000000000e+00,2.560000000000000000e+02,2.560000000000000901e-06,2.560000000000000000e+02,6.250000000000000000e-02,1.600000000000000563e-07,9.999999999999997020e+07,2.560000000000001840e-14,1.677721600000000590e-01,9.999999999999992000e+15
9.000000000000000000e+00,5.120000000000000000e+02,5.120000000000002436e-07,5.120000000000000000e+02,4.419417382415922330e-02,2.262741699796953163e-08,9.999999999999995232e+08,5.120000000000005297e-16,1.342177280000000639e-01,9.999999999999989760e+17
1.000000000000000000e+01,1.024000000000000000e+03,1.024000000000000567e-07,1.024000000000000000e+03,3.125000000000000000e-02,3.200000000000001771e-09,9.999999999999994278e+09,1.024000000000001176e-17,1.073741824000000594e-01,9.999999999999988531e+19
1.100000000000000000e+01,2.048000000000000000e+03,2.048000000000001200e-08,2.048000000000000000e+03,2.209708691207961165e-02,4.525483399593907071e-10,9.999999999999993896e+10,2.048000000000002507e-19,8.589934592000005031e-02,9.999999999999987417e+21
1.200000000000000000e+01,4.096000000000000000e+03,4.096000000000002399e-09,4.096000000000000000e+03,1.562500000000000000e-02,6.400000000000003749e-11,9.999999999999993896e+11,4.096000000000004954e-21,6.871947673600004025e-02,9.999999999999987753e+23
1.300000000000000000e+01,8.192000000000000000e+03,8.192000000000005419e-10,8.192000000000000000e+03,1.104854345603980582e-02,9.050966799187814788e-12,9.999999999999994141e+12,8.192000000000010895e-23,5.497558138880003636e-02,9.999999999999985015e+25
1.400000000000000000e+01,1.638400000000000000e+04,1.638400000000001291e-10,1.638400000000000000e+04,7.812500000000000000e-03,1.280000000000001008e-12,9.999999999999992188e+13,1.638400000000002524e-24,4.398046511104003464e-02,9.999999999999984190e+27
