s,rho,reach,curv_radius,half_nonlocal_sep
0.000000000000000000e+00,-1.757071242153539214e-01,4.038652746614090211e-02,4.038652746614090211e-02,6.119789170402738926e-02
1.499999999999999944e-02,-9.332690158418813220e-02,9.556403772432987831e-02,9.556403772432987831e-02,1.122686631158920367e-01
2.999999999999999889e-02,-9.182751621359031002e-02,9.624700475610745154e-02,9.624700475610745154e-02,1.127293826024859669e-01
4.499999999999999833e-02,-9.032870291741032509e-02,9.664336005480442249e-02,9.664336005480442249e-02,1.133734705780012481e-01
5.999999999999999778e-02,-8.882563415491571968e-02,9.713533826129126802e-02,9.713533826129126802e-02,1.140556692862953747e-01
7.499999999999999722e-02,-8.732836987636452553e-02,9.774658581902365140e-02,9.774658581902365140e-02,1.147665147565356397e-01
8.999999999999999667e-02,-8.584088341399094546e-02,9.848824992580139381e-02,9.848824992580139381e-02,1.155013364628851430e-01
1.049999999999999961e-01,-8.436667388708782300e-02,9.937091045817707247e-02,9.937091045817707247e-02,1.162586501141167489e-01
1.199999999999999956e-01,-8.290887278700975749e-02,1.004082626104050996e-01,1.004082626104050996e-01,1.170395355653427449e-01
1.350000000000000089e-01,-8.146970366771552619e-02,1.016189203292673926e-01,1.016189203292673926e-01,1.178475125990349343e-01
1.499999999999999944e-01,-8.005007494012647551e-02,1.030277223710880374e-01,1.030277223710880374e-01,1.175063250493756373e-01
1.650000000000000078e-01,-7.864945085578868567e-02,1.046667423675624875e-01,1.046667423675624875e-01,1.156168468207636191e-01
1.799999999999999933e-01,-7.726599753585913777e-02,1.065759635150232421e-01,1.065759635150232421e-01,1.138866561422657298e-01
1.950000000000000067e-01,-7.589693000190252115e-02,1.088035734402828109e-01,1.088035734402828109e-01,1.123594908803709214e-01
2.099999999999999922e-01,-7.453894806156272090e-02,1.110656876735987009e-01,1.114058792691198230e-01,1.110656876735987009e-01
2.250000000000000056e-01,-7.318863844176984323e-02,1.100231616331261431e-01,1.116396477120719100e-01,1.100231616331261431e-01
2.399999999999999911e-01,-7.184273490611808866e-02,1.092389014744503395e-01,1.107420596263189727e-01,1.092389014744503395e-01
2.550000000000000044e-01,-7.049816215580291534e-02,1.087110155925514188e-01,1.097646639688065473e-01,1.087110155925514188e-01
2.700000000000000178e-01,-6.915183388656799546e-02,1.079780150018092438e-01,1.087077815541893505e-01,1.079780150018092438e-01
2.850000000000000311e-01,-6.780021942066087604e-02,1.048230865413897067e-01,1.075728313576887751e-01,1.048230865413897067e-01
2.999999999999999889e-01,-6.643873093472865698e-02,1.016972299733820279e-01,1.063624188742835763e-01,1.016972299733820279e-01
3.150000000000000022e-01,-6.506101777224719551e-02,9.865035702354271741e-02,1.050805353205028214e-01,9.865035702354271741e-02
3.300000000000000155e-01,-6.365829064910970281e-02,9.574410137908004326e-02,1.037328729460574167e-01,9.574410137908004326e-02
3.450000000000000289e-01,-6.221882850969486650e-02,9.305181880537204131e-02,1.022937296244568195e-01,9.305181880537204131e-02
