eps,rho0,first_rho_nonnegative_s,first_eps_ge_reach_s,min_rho,min_reach
1.000000000000000021e-02,-1.757071242153539214e-01,6.750000000000000444e-01,nan,-1.858359697239810593e-01,1.630659283695340064e-02
2.000000000000000042e-02,-1.671138957942588932e-01,6.734999999999999876e-01,9.899999999999999911e-01,-1.724870541980708383e-01,1.649168570729111008e-02
2.999999999999999889e-02,-1.563723733541559080e-01,6.764999999999999902e-01,8.175000000000000044e-01,-1.586172639102481907e-01,1.392524442247301646e-02
3.500000000000000333e-02,-1.508296939362646361e-01,6.824999999999999956e-01,7.800000000000000266e-01,-1.521487140661234028e-01,2.340279248317941527e-03
