t,cyc0,cyc1,cyc2,cyc3,total0,total1,total2,total3,rg2,rg2dot,length,b0,b1,b2,b3,a0_over_Rg,a1_over_Rg,a2_over_Rg,a3_over_Rg
0.000000000000000000e+00,4.430088114713121722e-02,4.022682116704996008e-02,6.687025761169192173e-02,5.891911453611303057e-02,5.118492081346856515e-02,-1.913673097790806743e-01,7.964827809235770772e-02,-2.116344333579793860e-02,9.999999999999997780e-01,-1.459758360958142986e-01,1.034215694928354168e+01,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01
2.500000000000000052e-03,4.420405013851620019e-02,4.027373606709531290e-02,6.688846212481189268e-02,5.904787813041852823e-02,5.177635686317580421e-02,-1.904633017695800401e-01,7.966144378938103121e-02,-1.985140055245468438e-02,9.996357858888961223e-01,-1.453959479015313194e-01,1.034222839792672843e+01,2.259709793506489706e-02,2.261076537755498869e-02,2.259550990346288063e-02,2.260115606188753748e-02,1.503506937650883890e-01,1.503961553292589015e-01,1.503454106564185155e-01,1.503641936134783308e-01
5.000000000000000104e-03,4.410756087424045485e-02,4.032061331729547976e-02,6.690664550466958460e-02,5.917502051972589605e-02,5.236392712249292314e-02,-1.895637308395902165e-01,7.967455841414576578e-02,-1.854918770814353857e-02,9.992730177964019855e-01,-1.448190166263452205e-01,1.034231627388013486e+01,2.269415000236507315e-02,2.272153252255244144e-02,2.269100004547172991e-02,2.270224328671295935e-02,1.507005648569290368e-01,1.507914542985509532e-01,1.506901058453259945e-01,1.507274341999474410e-01
7.499999999999999722e-03,4.401141387506780217e-02,4.036745341295241291e-02,6.692480540732566319e-02,5.930054065523492762e-02,5.294765503800864803e-02,-1.886685480032902207e-01,7.968761956441584859e-02,-1.725675308625703938e-02,9.989116883644335587e-01,-1.442450149589616371e-01,1.034242046829166206e+01,2.279115614094231676e-02,2.283230118759132024e-02,2.278647042666036640e-02,2.280326156817545982e-02,1.510496178251386767e-01,1.511859018532769050e-01,1.510340896147794321e-01,1.510897271861474656e-01
1.000000000000000021e-02,4.391560962953221930e-02,4.041425683656967027e-02,6.694293953317639878e-02,5.942443777635941782e-02,5.352756398504657231e-02,-1.877777048585946851e-01,7.970062488794250888e-02,-1.597404500695397481e-02,9.985517903027398834e-01,-1.436739159430716339e-01,1.034254087312588055e+01,2.288811629151595375e-02,2.294307112602286466e-02,2.288192104783753900e-02,2.290421080511695351e-02,1.513978571731015854e-01,1.515795028777393028e-01,1.513773659696332485e-01,1.514510779500849169e-01
1.250000000000000069e-02,4.382014859431420523e-02,4.046102405798230467e-02,6.696104562626968570e-02,5.954671140588611161e-02,5.410367726620222972e-02,-1.868911535800226731e-01,7.971357208163612484e-02,-1.470101182437049889e-02,9.981933163880241100e-01,-1.431056929708155179e-01,1.034267738115789470e+01,2.298503039646172807e-02,2.305384209193265047e-02,2.297735190998630508e-02,2.300509090146334035e-02,1.517452873586547790e-01,1.519722621961301645e-01,1.517199388721892916e-01,1.518114918217526865e-01
1.499999999999999944e-02,4.372503119461558507e-02,4.050775553448546229e-02,6.697912147362927726e-02,5.966736134514329798e-02,5.467601810992975264e-02,-1.860088469116358834e-01,7.972645889074947423e-02,-1.343760192430664552e-02,9.978362594630795224e-01,-1.425403197764095464e-01,1.034282988596726582e+01,2.308189839979090524e-02,2.316461384012302380e-02,2.307276301426339910e-02,2.310590176616561520e-02,1.520919127947598648e-01,1.523641845734977629e-01,1.520618122428336605e-01,1.521709740838323999e-01
1.750000000000000167e-02,4.363025782453285734e-02,4.055445171096114937e-02,6.699716490458647311e-02,5.978638766918056152e-02,5.524460966917633942e-02,-1.851307381600430235e-01,7.973928310807179565e-02,-1.218376372236392065e-02,9.974806124359435477e-01,-1.419777704299301502e-01,1.034299828193203119e+01,2.317872024712953199e-02,2.327538612609585458e-02,2.316815436199857678e-02,2.320664331314090806e-02,1.524377378501612368e-01,1.527552747166935621e-01,1.524029899606616778e-01,1.525295299723802012e-01
2.000000000000000042e-02,4.353582884742873693e-02,4.060111302000338207e-02,6.701517379011978637e-02,5.990379072196140575e-02,5.580947502006222000e-02,-1.842567811874742389e-01,7.975204257313363299e-02,-1.093944566251210324e-02,9.971263682790649785e-01,-1.414180193312518929e-01,1.034318246422278342e+01,2.327549588569788677e-02,2.338615870603563338e-02,2.326352595469396295e-02,2.330731546121343756e-02,1.527827668500313096e-01,1.531455372752994204e-01,1.527434758640905110e-01,1.528871646774959681e-01
2.249999999999999917e-02,4.344174459630240764e-02,4.064773988204199717e-02,6.703314604220264594e-02,6.001957111157082969e-02,5.637063716060292801e-02,-1.833869304049257354e-01,7.976473517142305958e-02,-9.704596216061624550e-03,9.967735200284859598e-01,-1.408610412041341464e-01,1.034338232879687247e+01,2.337222526429011404e-02,2.349693133679289780e-02,2.335887779402337494e-02,2.340791813405543320e-02,1.531270040766030960e-01,1.535349768425359751e-01,1.530832737514603581e-01,1.532438833439770665e-01
2.500000000000000139e-02,4.334800537415843535e-02,4.069433270546451986e-02,6.705107961315866227e-02,6.013372970543947454e-02,5.692811900947321313e-02,-1.825211407653731799e-01,7.977735883361201930e-02,-8.479163881020546079e-03,9.964220607830409637e-01,-1.403068110904518995e-01,1.034359777239259870e+01,2.346890833325403214e-02,2.360770377586797822e-02,2.345420988183164260e-02,2.350845126012802641e-02,1.534704537697899884e-01,1.539235979561520973e-01,1.534223873816236983e-01,1.535996910719563957e-01
2.750000000000000014e-02,4.325461145437373839e-02,4.074089188673650497e-02,6.706897249502495606e-02,6.024626762558584619e-02,5.748194340480953374e-02,-1.816593677570575160e-01,7.978991153479415843e-02,-7.263097181813872594e-03,9.960719837035684199e-01,-1.397553043445675658e-01,1.034382869252354986e+01,2.356554504447112147e-02,2.371847578139506599e-02,2.354952222013391092e-02,2.360891477262214502e-02,1.538131201277939120e-01,1.543114050992964725e-01,1.537608204745238849e-01,1.539545929175256955e-01
2.999999999999999889e-02,4.316156308106380846e-02,4.078741781052037246e-02,6.708682271892357774e-02,6.035718624387848702e-02,5.803213310305024852e-02,-1.808015673968408343e-01,7.980239129373327411e-02,-6.056344669346185212e-03,9.957232820121350025e-01,-1.392064966278383220e-01,1.034407498747295584e+01,2.366213535133670359e-02,2.382924711212658364e-02,2.364481481111494962e-02,2.370930860939943902e-02,1.541550073077011807e-01,1.546984027013715568e-01,1.540985767117622751e-01,1.543085938933445589e-01
3.250000000000000111e-02,4.306886046944703034e-02,4.083391084979239027e-02,6.710462835444025442e-02,6.046648717731996359e-02,5.857871077781148100e-02,-1.799476962236333244e-01,7.981479617212181021e-02,-4.858854921386246070e-03,9.953759489912765712e-01,-1.386603639032563118e-01,1.034433655628812332e+01,2.375867920874029371e-02,2.394001752741786726e-02,2.374008765712843499e-02,2.380963271293325828e-02,1.544961194260671966e-01,1.550845951388701294e-01,1.544356597371550899e-01,1.546616989692351785e-01
3.500000000000000333e-02,4.297650380620791216e-02,4.088037136595797788e-02,6.712238750901160234e-02,6.057417228335363474e-02,5.912169901879731765e-02,-1.790977112918927805e-01,7.982712427385078857e-02,-3.670576543254540358e-03,9.950299779832499913e-01,-1.381168824302168585e-01,1.034461329877494151e+01,2.385517657304612321e-02,2.405078678721214031e-02,2.383534076069622823e-02,2.390988703024968243e-02,1.548364605594894639e-01,1.554699867361950538e-01,1.547720731572795050e-01,1.550139130727636594e-01
3.749999999999999861e-02,4.288449324985862954e-02,4.092679970896558744e-02,6.714009832731981930e-02,6.068024365519529562e-02,5.966112033074336130e-02,-1.782515701651958273e-01,7.983937374428984324e-02,-2.491458168795767075e-03,9.946853623892977225e-01,-1.375760287594119669e-01,1.034490511549241809e+01,2.395162740207385996e-02,2.416155465202578581e-02,2.393057412450765378e-02,2.401007151286866509e-02,1.551760347451700273e-01,1.558545817664629685e-01,1.551078205420096667e-01,1.553652410898082314e-01
4.000000000000000083e-02,4.279282893109987579e-02,4.097319621741863510e-02,6.715775899069552357e-02,6.078470361719101600e-02,6.019699713239242550e-02,-1.774092309098808384e-01,7.985154276957792674e-02,-1.321448461617262234e-03,9.943420956689275059e-01,-1.370377797278446719e-01,1.034521190774730215e+01,2.404803165507949508e-02,2.427232088293390308e-02,2.402578775141875692e-02,2.411018611674527884e-02,1.555148459814668371e-01,1.562383844522916010e-01,1.554429054250428266e-01,1.557156878651143883e-01
4.250000000000000305e-02,4.270151095317950563e-02,4.101956121868579469e-02,6.717536771652801719e-02,6.088755472020229015e-02,6.072935175550023962e-02,-1.765706520887630748e-01,7.986362957592399447e-02,-1.604961165767042526e-04,9.940001713392009330e-01,-1.365021124539612385e-01,1.034553357758873560e+01,2.414438929273641718e-02,2.438308524155615234e-02,2.412098164445156817e-02,2.421023080221108500e-02,1.558528982284348718e-01,1.566213989665717066e-01,1.557773313044154562e-01,1.560652582028380364e-01
4.499999999999999833e-02,4.261053939225058207e-02,4.106589502900988287e-02,6.719292275768369571e-02,6.098879973702034385e-02,6.125820644387242053e-02,-1.757357927549220988e-01,7.987563242891865256e-02,9.914501384986158447e-04,9.936595829740374475e-01,-1.359690043328978248e-01,1.034587002780297915e+01,2.424070027711666339e-02,2.449384749004286654e-02,2.421615580679335050e-02,2.431020553391567002e-02,1.561901954083567967e-01,1.570036294332238791e-01,1.561111016430102028e-01,1.564139568670762925e-01
4.750000000000000056e-02,4.251991429772753600e-02,4.111219795361448909e-02,6.721042240193218775e-02,6.108844165781100038e-02,6.178358335242922772e-02,-1.749046124455614915e-01,7.988754963285552013e-02,2.134441540876545317e-03,9.933203242035268943e-01,-1.354384330318382235e-01,1.034622116190815611e+01,2.433696457167233707e-02,2.460460739106144767e-02,2.431131024179583600e-02,2.441011028076834136e-02,1.565267414062639639e-01,1.573850799279402912e-01,1.564442198690531305e-01,1.567617885823866797e-01
5.000000000000000278e-02,4.242963569264153467e-02,4.115847028680957170e-02,6.722786497138009965e-02,6.118648368559043149e-02,6.230550454629950330e-02,-1.740770711759411504e-01,7.989937953006299998e-02,3.268529290784744426e-03,9.929823887132560589e-01,-1.349103764854797383e-01,1.034658688414908490e+01,2.443318214121723356e-02,2.471536470778301284e-02,2.440644495297447994e-02,2.450994501588001084e-02,1.568625400704473649e-01,1.577657544789121402e-01,1.567766893766022462e-01,1.571087580342950540e-01
5.249999999999999806e-02,4.233970357399388651e-02,4.120471231209467400e-02,6.724524882191244834e-02,6.128292923173450646e-02,6.282399199994166683e-02,-1.732531294333807259e-01,7.991112050024605507e-02,4.393764549090194843e-03,9.926457702436456421e-01,-1.343848128916037277e-01,1.034696709949212945e+01,2.452935295190860829e-02,2.482611920386932139e-02,2.450155994400767326e-02,2.460970971650528957e-02,1.571975952129591181e-01,1.581456570675429663e-01,1.571085135260267274e-01,1.574548698697924853e-01
5.500000000000000028e-02,4.225011791310862019e-02,4.125092430226117574e-02,6.726257234264185203e-02,6.137778191152182955e-02,6.333906759629162608e-02,-1.724327481713358867e-01,7.992277095983774116e-02,5.510198434809070699e-03,9.923104625892971153e-01,-1.338617207067482051e-01,1.034736171362009927e+01,2.462547697122915644e-02,2.493687064345994839e-02,2.459665521873598271e-02,2.470940436398479101e-02,1.575319106101048805e-01,1.585247916291480930e-01,1.574396956444778228e-01,1.578001286978215345e-01
5.750000000000000250e-02,4.216087865598338452e-02,4.129710651949205363e-02,6.727983395536542288e-02,6.147104553971167312e-02,6.385075312593699315e-02,-1.716158888035460850e-01,7.993432936136117550e-02,6.617882022458712252e-03,9.919764595983515676e-01,-1.333410786419799154e-01,1.034777063292719923e+01,2.472155416796914529e-02,2.504761879115970785e-02,2.469173078116136677e-02,2.480902894368769082e-02,1.578654900029268782e-01,1.589031620536406342e-01,1.577702390263510390e-01,1.581445390897520675e-01
5.999999999999999778e-02,4.207198572363909234e-02,4.134325921546059407e-02,6.729703211402893182e-02,6.156272412615860362e-02,6.435907028631732141e-02,-1.708025131982541522e-01,7.994579419280070653e-02,7.716866339267804999e-03,9.916437551718588761e-01,-1.328228656587618906e-01,1.034819376451400963e+01,2.481758451220874434e-02,2.515836341202633969e-02,2.478678663544638811e-02,2.490858344495452611e-02,1.581983370976783321e-01,1.592807721862044834e-01,1.581001469337400267e-01,1.584881055798471328e-01
6.250000000000000000e-02,4.198343901246824605e-02,4.138938263142702412e-02,6.731416530419898070e-02,6.165282187146396004e-02,6.486404068094900333e-02,-1.699925836724973938e-01,7.995716397698318656e-02,8.807202362255392436e-03,9.913123432631560927e-01,-1.323070609649156515e-01,1.034863101618252657e+01,2.491356797530052195e-02,2.526910427155841521e-02,2.488182278591343638e-02,2.500806786104025833e-02,1.585304555662890580e-01,1.596576258279542582e-01,1.584294225968823355e-01,1.588308326657189851e-01
6.500000000000000222e-02,4.189523839458151461e-02,4.143547699833356746e-02,6.733123204254194694e-02,6.174134316266582240e-02,6.536568581867557848e-02,-1.691860629864693211e-01,7.996843727096850096e-02,9.888941015192425493e-03,9.909822178772575985e-01,-1.317936440106734497e-01,1.034908229643121835e+01,2.500950452985211195e-02,2.537984113568350977e-02,2.497683923704393030e-02,2.510748218905762760e-02,1.588618490468226008e-01,1.600337267365828930e-01,1.587580692145972583e-01,1.591727248087756175e-01
6.750000000000000444e-02,4.180738371815346383e-02,4.148154253689780718e-02,6.734823087631111593e-02,6.182829256896801851e-02,6.586402711294221668e-02,-1.683829143379532711e-01,7.997961266544997838e-02,1.096213316545655882e-02,9.906533730702520302e-01,-1.312825944848197979e-01,1.034954751445013166e+01,2.510539414970908156e-02,2.549057377074658709e-02,2.507183599347751618e-02,2.520682642992080891e-02,1.591925211439253751e-01,1.604090786269970204e-01,1.590860899547159035e-01,1.595137864346583834e-01
7.000000000000000666e-02,4.171987480776621210e-02,4.152757945770434167e-02,6.736516038284075247e-02,6.191367483750909173e-02,6.635908588109383499e-02,-1.675831013568259142e-01,7.999068878416408512e-02,1.202682962079283657e-02,9.903258029487128633e-01,-1.307738923109185158e-01,1.035002658011602783e+01,2.520123680993795537e-02,2.560130194349863331e-02,2.516681306001127688e-02,2.530610058828935277e-02,1.595224754292673131e-01,1.607836851719401938e-01,1.594134879545035244e-01,1.598540219336701818e-01
7.249999999999999500e-02,4.163271146475221868e-02,4.157358796129469181e-02,6.738201916904748567e-02,6.199749488917212503e-02,6.685088334369787555e-02,-1.667865880996309558e-01,8.000166428330914015e-02,1.308308112598908883e-02,9.899995016691146565e-01,-1.302675176436233484e-01,1.035051940398756720e+01,2.529703248680941971e-02,2.571202542108549580e-02,2.526177044159892693e-02,2.540530467251247287e-02,1.598517154419749620e-01,1.611575500026047048e-01,1.597402663210745477e-01,1.601934356611953991e-01
7.499999999999999722e-02,4.154589346753497642e-02,4.161956823825550822e-02,6.739880587093909081e-02,6.207975781443648283e-02,6.733944062388942664e-02,-1.659933390442231149e-01,8.001253785097368898e-02,1.413093835947904636e-02,9.896744634372600657e-01,-1.297634508650702956e-01,1.035102589730050227e+01,2.539278115778170752e-02,2.582274397103697175e-02,2.535670814335000411e-02,2.550443869457364593e-02,1.601802446890567000e-01,1.615306767092319074e-01,1.600664281318003035e-01,1.605320319381113026e-01
7.749999999999999944e-02,4.145942057196872615e-02,4.166552046930534908e-02,6.741551915313041821e-02,6.216046886927135973e-02,6.782477874673996376e-02,-1.652033190844814925e-01,8.002330820657369004e-02,1.517045192987945788e-02,9.893506825077158506e-01,-1.292616725813488521e-01,1.035154597196293835e+01,2.548848280148415316e-02,2.593345736125609799e-02,2.545162617052906459e-02,2.560350267003557584e-02,1.605080666458205685e-01,1.619030688417012753e-01,1.603919764347094268e-01,1.608698150511912173e-01
8.000000000000000167e-02,4.137329251167633920e-02,4.171144482537935544e-02,6.743215770836630263e-02,6.223963347107279442e-02,6.830691863864944702e-02,-1.644164935250916615e-01,8.003397410029869374e-02,1.620167237247381944e-02,9.890281531832577633e-01,-1.287621636190498520e-01,1.035207954055059609e+01,2.558413739770093800e-02,2.604416536000865937e-02,2.554652452855487449e-02,2.570249661798548399e-02,1.608351847562845272e-01,1.622747299101088003e-01,1.607169142488816260e-01,1.612067892534995994e-01
8.250000000000000389e-02,4.128750899838569410e-02,4.175734146771265670e-02,6.744872025705192509e-02,6.231725719464409341e-02,6.878588112675984578e-02,-1.636328280763974241e-01,8.004453431256729201e-02,1.722465014565014926e-02,9.887068698143220979e-01,-1.282649050218887532e-01,1.035262651630211295e+01,2.567974492735498188e-02,2.615486773591290878e-02,2.564140322299959113e-02,2.580142056098079506e-02,1.611616024335797703e-01,1.626456633853346767e-01,1.610412445648342905e-01,1.615429587647798926e-01
8.500000000000000611e-02,4.120206972226446440e-02,4.180321054792181940e-02,6.746520554678971104e-02,6.239334576822063577e-02,6.926168693839208912e-02,-1.628522888493192655e-01,8.005498765349061685e-02,1.823943562730096640e-02,9.883868267984684541e-01,-1.277698780474010865e-01,1.035318681311439271e+01,2.577530537249203904e-02,2.626556425792950233e-02,2.573626225958795116e-02,2.590027452499517324e-02,1.614873230603467991e-01,1.630158726996006058e-01,1.613649703449026862e-01,1.618783277718343072e-01
8.750000000000000833e-02,4.111697435225335207e-02,4.184905220808479709e-02,6.748161235192355611e-02,6.246790506953921879e-02,6.973435670050487367e-02,-1.620748423503417524e-01,8.006533296234559505e-02,1.924607911119361955e-02,9.880680185798482729e-01,-1.272770641637087918e-01,1.035376034553795499e+01,2.587081871626494348e-02,2.637625469535162873e-02,2.583110164419645527e-02,2.599905853936496439e-02,1.618123499891247485e-01,1.633853612470168859e-01,1.616880945236133793e-01,1.622129004288966891e-01
8.999999999999999667e-02,4.103222253639761397e-02,4.189486658081921500e-02,6.749793947308954656e-02,6.254094112195297817e-02,7.020391093917531522e-02,-1.613004554765676835e-01,8.007556910705566910e-02,2.024463080331971934e-02,9.877504396486831428e-01,-1.267864450463559722e-01,1.035434702877233626e+01,2.596628494291804493e-02,2.648693881779535034e-02,2.592592138285255282e-02,2.609777263673600245e-02,1.621366865427339432e-01,1.637541323841197050e-01,1.620106200080514702e-01,1.625466808579980882e-01
9.249999999999999889e-02,4.094781390217688138e-02,4.194065378935905863e-02,6.751418573677399337e-02,6.261246009059177886e-02,7.067037007910170754e-02,-1.605290955108394924e-01,8.008569498368074691e-02,2.123514081822966068e-02,9.874340845407498790e-01,-1.262980025752108715e-01,1.035494677866151747e+01,2.606170403777180455e-02,2.659761639519013163e-02,2.602072148173381269e-02,2.619641685301083572e-02,1.624603360146517628e-01,1.641221894303986351e-01,1.623325496782213329e-01,1.628796731493255545e-01
9.500000000000000111e-02,4.086374805683328643e-02,4.198641394762949591e-02,6.753034999487762813e-02,6.268246827856858994e-02,7.113375444312772244e-02,-1.597607301169249872e-01,8.009570951591538090e-02,2.221765917535852009e-02,9.871189478368729286e-01,-1.258117188314333834e-01,1.035555951168935707e+01,2.615707598720757796e-02,2.670828719776957225e-02,2.611550194716711834e-02,2.629499122729636595e-02,1.627833016693824852e-01,1.644895356688148014e-01,1.626538863874015250e-01,1.632118813615743569e-01
