y_core_over_scale_sq,min_ARe_for_nonincrease
1.000000000000000056e-01,4.000000000000000000e+01
1.000000000000000021e-02,4.000000000000000000e+02
1.000000000000000021e-03,4.000000000000000000e+03
1.000000000000000048e-04,4.000000000000000000e+04
9.999999999999999124e-06,4.000000000000000582e+05
9.999999999999999547e-07,4.000000000000000000e+06
