s,logR_cumulative
1.475000000000000000e+01,2.178268667175563778e+00
1.480000000000000071e+01,2.188228414599256322e+00
1.484999999999999964e+01,2.197769268136811505e+00
1.490000000000000036e+01,2.207416409536838042e+00
1.495000000000000107e+01,2.217132844535579128e+00
1.500000000000000000e+01,2.226580324645553777e+00
1.505000000000000071e+01,2.235491451750247105e+00
1.509999999999999964e+01,2.243815967353012031e+00
1.515000000000000036e+01,2.252118780401307419e+00
1.520000000000000107e+01,2.260791324471434827e+00
1.525000000000000000e+01,2.268984232879839968e+00
1.530000000000000071e+01,2.276195191441757526e+00
1.534999999999999964e+01,2.282738432245673632e+00
1.540000000000000036e+01,2.288718127451433215e+00
1.545000000000000107e+01,2.294548089902006982e+00
1.550000000000000000e+01,2.300767716657109663e+00
1.555000000000000071e+01,2.308148605631701322e+00
1.559999999999999964e+01,2.316897660388091307e+00
1.565000000000000036e+01,2.326103679243562095e+00
1.570000000000000107e+01,2.335337822349614179e+00
1.575000000000000000e+01,2.343467350088155765e+00
1.580000000000000071e+01,2.350946153144988227e+00
1.584999999999999964e+01,2.359436120441571472e+00
1.590000000000000036e+01,2.368754789617980361e+00
1.595000000000000107e+01,2.377451042844403339e+00
1.600000000000000000e+01,2.384685463092345081e+00
1.605000000000000071e+01,2.391530981561106106e+00
1.610000000000000142e+01,2.398425912040858865e+00
1.614999999999999858e+01,2.403711668047019412e+00
1.619999999999999929e+01,2.407678996162231577e+00
1.625000000000000000e+01,2.413214833132772519e+00
1.630000000000000071e+01,2.420104382655975161e+00
1.635000000000000142e+01,2.427499939257747208e+00
1.639999999999999858e+01,2.435313629649459521e+00
1.644999999999999929e+01,2.442922662362561503e+00
1.650000000000000000e+01,2.450317883944034492e+00
1.655000000000000071e+01,2.457845642949890497e+00
1.660000000000000142e+01,2.465236380822014350e+00
1.664999999999999858e+01,2.472320243504027459e+00
1.669999999999999929e+01,2.479761933914911065e+00
1.675000000000000000e+01,2.488111209399348933e+00
1.680000000000000071e+01,2.496893158819075698e+00
1.685000000000000142e+01,2.505659264134006303e+00
1.689999999999999858e+01,2.514426076833870649e+00
1.694999999999999929e+01,2.522755038790628124e+00
1.700000000000000000e+01,2.530646328840370884e+00
1.705000000000000071e+01,2.538650445379106557e+00
1.710000000000000142e+01,2.546779623256318015e+00
1.715000000000000213e+01,2.553897910087001843e+00
1.719999999999999929e+01,2.559205396640503061e+00
1.725000000000000000e+01,2.563500137071155205e+00
1.730000000000000071e+01,2.567911686092679613e+00
1.735000000000000142e+01,2.572377729724312001e+00
1.740000000000000213e+01,2.576507026974030445e+00
1.744999999999999929e+01,2.580587711181450139e+00
1.750000000000000000e+01,2.584724650477517205e+00
1.755000000000000071e+01,2.588411947645672839e+00
1.760000000000000142e+01,2.591722712263440975e+00
1.765000000000000213e+01,2.594985786628142499e+00
1.769999999999999929e+01,2.598187057629570695e+00
1.775000000000000000e+01,2.601226331698950567e+00
1.780000000000000071e+01,2.604503437145231803e+00
1.785000000000000142e+01,2.608260400175591354e+00
1.790000000000000213e+01,2.612064402337727298e+00
1.794999999999999929e+01,2.615818438347006225e+00
1.800000000000000000e+01,2.619533061247592443e+00
1.805000000000000071e+01,2.623905479411872133e+00
1.810000000000000142e+01,2.629577247568589904e+00
1.815000000000000213e+01,2.635376445382413113e+00
1.819999999999999929e+01,2.640695659311907750e+00
1.825000000000000000e+01,2.646348390726171118e+00
1.830000000000000071e+01,2.651830904957960033e+00
1.835000000000000142e+01,2.656800843044758942e+00
1.840000000000000213e+01,2.661673277428811435e+00
1.844999999999999929e+01,2.666711823329094511e+00
1.850000000000000000e+01,2.672194836697376896e+00
1.855000000000000071e+01,2.678042062747548968e+00
1.860000000000000142e+01,2.684163068631696181e+00
1.865000000000000213e+01,2.690606649251451099e+00
1.869999999999999929e+01,2.697617424027186850e+00
1.875000000000000000e+01,2.705450172294524336e+00
1.880000000000000071e+01,2.714219110192354290e+00
1.885000000000000142e+01,2.724031744082673345e+00
1.890000000000000213e+01,2.734096492942078793e+00
1.894999999999999929e+01,2.743260312429201875e+00
1.900000000000000000e+01,2.751476313898551407e+00
1.905000000000000071e+01,2.759319108977344559e+00
1.910000000000000142e+01,2.767618791529162792e+00
1.915000000000000213e+01,2.777345432630072608e+00
1.919999999999999929e+01,2.788170637150428455e+00
1.925000000000000000e+01,2.798730284788448319e+00
1.930000000000000071e+01,2.808623857156171688e+00
1.935000000000000142e+01,2.817769450748872195e+00
1.940000000000000213e+01,2.825955147939362977e+00
1.944999999999999929e+01,2.833474587787649934e+00
1.950000000000000000e+01,2.840344288159106778e+00
1.955000000000000071e+01,2.846515136552909997e+00
1.960000000000000142e+01,2.852505224944259510e+00
1.965000000000000213e+01,2.858679727726705533e+00
1.969999999999999929e+01,2.864984614005230856e+00
1.975000000000000000e+01,2.871313570107222102e+00
1.980000000000000071e+01,2.877780136077649598e+00
1.985000000000000142e+01,2.884595549600554865e+00
1.990000000000000213e+01,2.891376859340224481e+00
1.994999999999999929e+01,2.897844567141800720e+00
2.000000000000000000e+01,2.904124163406415438e+00
2.005000000000000071e+01,2.910138831488920275e+00
2.010000000000000142e+01,2.915875704216071895e+00
2.015000000000000213e+01,2.921246050867639887e+00
2.019999999999999929e+01,2.926381845148018357e+00
2.025000000000000000e+01,2.931499084026876645e+00
2.030000000000000071e+01,2.936651067258235770e+00
2.035000000000000142e+01,2.942196048544448050e+00
2.040000000000000213e+01,2.948451542902549960e+00
2.044999999999999929e+01,2.955398747024245321e+00
2.050000000000000000e+01,2.961554593930074475e+00
2.055000000000000071e+01,2.966876898171687760e+00
2.060000000000000142e+01,2.972556531757681864e+00
2.065000000000000213e+01,2.978840601602313676e+00
2.069999999999999929e+01,2.984876851618009308e+00
2.075000000000000000e+01,2.990422919075668151e+00
2.080000000000000071e+01,2.996899700554910506e+00
2.085000000000000142e+01,3.004499293060693965e+00
2.090000000000000213e+01,3.012235763193217064e+00
2.094999999999999929e+01,3.019581045998296354e+00
2.100000000000000000e+01,3.026919245950891124e+00
2.105000000000000071e+01,3.034169775464789165e+00
2.110000000000000142e+01,3.040194591605798635e+00
2.115000000000000213e+01,3.045211490871002180e+00
2.119999999999999929e+01,3.050277740138529925e+00
2.125000000000000000e+01,3.055949990201533684e+00
2.130000000000000071e+01,3.062698309577132960e+00
2.135000000000000142e+01,3.070014733579351507e+00
2.140000000000000213e+01,3.077559670311678541e+00
2.144999999999999929e+01,3.085022369314444735e+00
2.150000000000000000e+01,3.092089814192026775e+00
2.155000000000000071e+01,3.098848980676864873e+00
2.160000000000000142e+01,3.105761738594572385e+00
2.165000000000000213e+01,3.113460311515462209e+00
2.169999999999999929e+01,3.121903185727349594e+00
2.175000000000000000e+01,3.130242880607994937e+00
2.180000000000000071e+01,3.137636979571861495e+00
2.185000000000000142e+01,3.144149711424412796e+00
2.190000000000000213e+01,3.149968685578123484e+00
2.194999999999999929e+01,3.155221938678979932e+00
2.200000000000000000e+01,3.160523504320553290e+00
2.205000000000000071e+01,3.166430731625153872e+00
2.210000000000000142e+01,3.173472062102016711e+00
2.215000000000000213e+01,3.181547506258340707e+00
2.219999999999999929e+01,3.189940295538824966e+00
2.225000000000000000e+01,3.198421346461553405e+00
2.230000000000000071e+01,3.207354881261452739e+00
2.235000000000000142e+01,3.216114173928741327e+00
2.240000000000000213e+01,3.224615904531112243e+00
2.244999999999999929e+01,3.233046881434131770e+00
2.250000000000000000e+01,3.241430008231605431e+00
2.255000000000000071e+01,3.250294393514553182e+00
2.260000000000000142e+01,3.259436267632810580e+00
2.265000000000000213e+01,3.268120433526570334e+00
2.269999999999999929e+01,3.275882546495831882e+00
2.275000000000000000e+01,3.283712161659733564e+00
2.280000000000000071e+01,3.291972184303183724e+00
2.285000000000000142e+01,3.300012595650962499e+00
2.290000000000000213e+01,3.307946068886585600e+00
2.294999999999999929e+01,3.316865975109206222e+00
2.300000000000000000e+01,3.325999863921733635e+00
2.305000000000000071e+01,3.335467827840111976e+00
2.310000000000000142e+01,3.345979964961270259e+00
2.315000000000000213e+01,3.357924404852864253e+00
2.319999999999999929e+01,3.371395720265339069e+00
2.325000000000000000e+01,3.383909923338204617e+00
2.330000000000000071e+01,3.394795071942218634e+00
2.335000000000000142e+01,3.405849011121925063e+00
2.340000000000000213e+01,3.417957377152975429e+00
2.344999999999999929e+01,3.429107256069524823e+00
2.350000000000000000e+01,3.439598119734182724e+00
2.355000000000000071e+01,3.450416242351040719e+00
2.360000000000000142e+01,3.462939801737713097e+00
2.365000000000000213e+01,3.476055932251041369e+00
2.369999999999999929e+01,3.488124551422395747e+00
2.375000000000000000e+01,3.499486968378800800e+00
2.380000000000000071e+01,3.510957943126132630e+00
2.385000000000000142e+01,3.524802136488125459e+00
2.390000000000000213e+01,3.539398903023642795e+00
2.394999999999999929e+01,3.552728139089357917e+00
2.400000000000000000e+01,3.563943984794393227e+00
2.405000000000000071e+01,3.573361461062215305e+00
2.410000000000000142e+01,3.582014345791908472e+00
2.415000000000000213e+01,3.590345466772807637e+00
2.419999999999999929e+01,3.598736389718323103e+00
2.425000000000000000e+01,3.607499697781372916e+00
2.430000000000000071e+01,3.616763438877085068e+00
2.435000000000000142e+01,3.626327354692730598e+00
2.440000000000000213e+01,3.635751886030773150e+00
2.444999999999999929e+01,3.645280715502356994e+00
2.450000000000000000e+01,3.655483288052502555e+00
2.455000000000000071e+01,3.666147120258340220e+00
2.460000000000000142e+01,3.677084124523220421e+00
2.465000000000000213e+01,3.688861974657518861e+00
2.469999999999999929e+01,3.701203045734033026e+00
2.475000000000000000e+01,3.713433048036692163e+00
2.480000000000000071e+01,3.725696177770484230e+00
2.485000000000000142e+01,3.737705243309853653e+00
2.490000000000000213e+01,3.748902511094665435e+00
2.494999999999999929e+01,3.759100018310555402e+00
2.500000000000000000e+01,3.768499064272132326e+00
2.505000000000000071e+01,3.777553698214191069e+00
2.510000000000000142e+01,3.786665770469104686e+00
2.515000000000000213e+01,3.795964381963681689e+00
2.519999999999999929e+01,3.805255840046614324e+00
2.525000000000000000e+01,3.814323883380832836e+00
2.530000000000000071e+01,3.823260272966158890e+00
2.535000000000000142e+01,3.832621206143573378e+00
2.540000000000000213e+01,3.842958398489344063e+00
2.544999999999999929e+01,3.853710444734806284e+00
2.550000000000000000e+01,3.864320277085138589e+00
2.555000000000000071e+01,3.874039950478496142e+00
2.560000000000000142e+01,3.880989642083124025e+00
2.565000000000000213e+01,3.885453731142124223e+00
2.569999999999999929e+01,3.890718520124524904e+00
2.575000000000000000e+01,3.897577257911665871e+00
2.580000000000000071e+01,3.905032425745944114e+00
2.585000000000000142e+01,3.913390445818733632e+00
2.590000000000000213e+01,3.922541696148451607e+00
2.594999999999999929e+01,3.932230045955326769e+00
2.600000000000000000e+01,3.943173768247425937e+00
2.605000000000000071e+01,3.955996529002899997e+00
2.610000000000000142e+01,3.968270073665770781e+00
2.615000000000000213e+01,3.979001220839470498e+00
2.619999999999999929e+01,3.989816455456403954e+00
2.625000000000000000e+01,4.000686145377641445e+00
2.630000000000000071e+01,4.011690141170286772e+00
2.635000000000000142e+01,4.023451521515678309e+00
2.640000000000000213e+01,4.035654719139261104e+00
2.644999999999999929e+01,4.047388604173702831e+00
2.650000000000000000e+01,4.057669194296931181e+00
2.655000000000000071e+01,4.067035597122860224e+00
2.660000000000000142e+01,4.076767322964001572e+00
2.665000000000000213e+01,4.085818075510304404e+00
2.669999999999999929e+01,4.094474691032152336e+00
2.675000000000000000e+01,4.104227383047700073e+00
2.680000000000000071e+01,4.114315468273936460e+00
2.685000000000000142e+01,4.124561664995356480e+00
2.690000000000000213e+01,4.135172660538337652e+00
2.694999999999999929e+01,4.145418052945745835e+00
2.700000000000000000e+01,4.154760523613285628e+00
2.705000000000000071e+01,4.163697945500540065e+00
2.710000000000000142e+01,4.174088942731603247e+00
2.715000000000000213e+01,4.185546669494494054e+00
2.719999999999999929e+01,4.196247185295626458e+00
2.725000000000000000e+01,4.205568836157003609e+00
2.730000000000000071e+01,4.213923331613150580e+00
2.735000000000000142e+01,4.222672474143215560e+00
2.740000000000000213e+01,4.232488884662990003e+00
2.744999999999999929e+01,4.243442530305265414e+00
2.750000000000000000e+01,4.254570885988883333e+00
2.755000000000000071e+01,4.265964923455452862e+00
2.760000000000000142e+01,4.278198427584482211e+00
2.765000000000000213e+01,4.290779574566204957e+00
2.769999999999999929e+01,4.303637965506135643e+00
2.775000000000000000e+01,4.317242213136443851e+00
2.780000000000000071e+01,4.331870298412951570e+00
2.785000000000000142e+01,4.344307270627466799e+00
2.790000000000000213e+01,4.353220415208681970e+00
2.794999999999999929e+01,4.361248629375638508e+00
2.800000000000000000e+01,4.369944483208717756e+00
2.805000000000000071e+01,4.380714538111746492e+00
2.810000000000000142e+01,4.391625982418706720e+00
2.815000000000000213e+01,4.402505608502635503e+00
2.819999999999999929e+01,4.417074601305913006e+00
2.825000000000000000e+01,4.434897351287646394e+00
2.830000000000000071e+01,4.453259821068986213e+00
2.835000000000000142e+01,4.470321319079206823e+00
2.840000000000000213e+01,4.485842372122301747e+00
2.844999999999999929e+01,4.499395279037623041e+00
2.850000000000000000e+01,4.511524685241830923e+00
2.855000000000000071e+01,4.522886023630283248e+00
2.860000000000000142e+01,4.532629237779833176e+00
2.865000000000000213e+01,4.541298639910367640e+00
2.869999999999999929e+01,4.549954160412971405e+00
2.875000000000000000e+01,4.558864146192425970e+00
2.880000000000000071e+01,4.567908742824580592e+00
2.885000000000000142e+01,4.578962106890587691e+00
2.890000000000000213e+01,4.591059629342066906e+00
