N,core,first_fail_s,reach_at_fail,n_local_shrink,local_posfrac,local_min,local_median,local_max,local_median_Re_req,near2_posfrac,near2_min,near2_median,near2_max,near2_median_Re_req,globalmax_posfrac,globalmax_min,globalmax_median,globalmax_max,globalmax_median_Re_req,distmax_over_reach_median,distmax_over_reach_min,distmax_over_reach_max,elapsed_s
2.560000000000000000e+02,5.000000000000000278e-02,4.425000000000000044e-01,1.426055764353639788e-01,5.600000000000000000e+01,0.000000000000000000e+00,-2.032300812290988024e-01,-1.847828640087803564e-02,-3.336903048056567411e-03,inf,6.071428571428570953e-01,-1.880246573395356613e-01,3.014383440978093704e-03,1.788812966619801256e-02,4.511466550446615656e+03,7.857142857142856984e-01,-1.789316478410429290e-01,7.589231477636049737e-03,2.123717182164084130e-02,3.928820817500141857e+03,9.808564090254746404e+00,9.542588587444067016e+00,1.034040724842643044e+01,7.197818517684936523e+00
3.200000000000000000e+02,4.000000000000000083e-02,4.274999999999999911e-01,1.604719686297004233e-01,2.200000000000000000e+01,4.545454545454545581e-02,-1.861985265573704029e-01,-6.388003269430213987e-03,7.840074903732909136e-05,7.702628469582868274e+05,9.090909090909090606e-01,-1.716479066509720708e-01,9.709386635222236328e-03,1.552288440236773530e-02,5.849525620654771046e+03,9.090909090909090606e-01,-1.626811912814718486e-01,1.611445502905254484e-02,2.238955115794846740e-02,3.584518130771166852e+03,9.803311278113456595e+00,9.478292442935655870e+00,1.001208145714877418e+01,1.066370749473571777e+01
3.840000000000000000e+02,2.999999999999999889e-02,3.674999999999999933e-01,1.652093749928342792e-01,1.900000000000000000e+01,5.789473684210526550e-01,-1.963378286994805211e-01,7.459187045593742259e-03,1.143365460586981755e-02,1.435179206549778246e+04,6.842105263157894912e-01,-1.835713332179781387e-01,2.258627103331252786e-02,2.642296870895002522e-02,5.461735675775386881e+03,6.842105263157894912e-01,-1.743017881499445143e-01,2.258627103331252786e-02,2.642296870895002522e-02,5.426266170089968000e+03,9.913188456964483475e-01,9.866630293168798804e-01,1.014092233760466932e+01,1.571868371963500977e+01
