t,cyc0,cyc1,cyc2,cyc3,total0,total1,total2,total3,rg2,rg2dot,length,b0,b1,b2,b3,a0_over_Rg,a1_over_Rg,a2_over_Rg,a3_over_Rg
0.000000000000000000e+00,4.430088114713121722e-02,4.022682116704996008e-02,6.687025761169192173e-02,5.891911453611303057e-02,5.118492081346856515e-02,-1.913673097790806743e-01,7.964827809235770772e-02,-2.116344333579793860e-02,9.999999999999997780e-01,-1.459758360958142986e-01,1.034215694928354168e+01,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,2.249999999999999917e-02,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01,1.500000000000000222e-01
2.500000000000000052e-03,4.423657811149972474e-02,4.029920692797452075e-02,6.693828479247085350e-02,5.906090406455148656e-02,5.182969960379637392e-02,-1.906372011871278749e-01,7.971381366794332013e-02,-1.992991070567206452e-02,9.996354644765569342e-01,-1.456525575579093457e-01,1.034222819346149080e+01,2.249960273671990085e-02,2.251324703236157881e-02,2.249801813703296641e-02,2.250365584242213987e-02,1.500260231831685998e-01,1.500715059677971419e-01,1.500207400815506686e-01,1.500395355094739369e-01
5.000000000000000104e-03,4.417224693507663946e-02,4.037159158443203583e-02,6.700608894445381214e-02,5.920111677543216794e-02,5.247398006601105419e-02,-1.899085038926629221e-01,7.977902835046705998e-02,-1.869669744060920361e-02,9.992717373373366518e-01,-1.453291288691857530e-01,1.034231551685563133e+01,2.249916927309797768e-02,2.252645931689365583e-02,2.249603299232197373e-02,2.250724247665326916e-02,1.500518794268264344e-01,1.501428534833502138e-01,1.500414207912137698e-01,1.500787979921739124e-01
7.499999999999999722e-03,4.410788964871197038e-02,4.044397469737712886e-02,6.707367041283193720e-02,5.933974111725007217e-02,5.311775672138853432e-02,-1.891812067231636585e-01,7.984392244843659114e-02,-1.746384006865284513e-02,9.989088189565713538e-01,-1.450055509489355521e-01,1.034241890119683838e+01,2.249869964343240158e-02,2.253963686807251496e-02,2.249404458520584335e-02,2.251075989623337395e-02,1.500775686633801509e-01,1.502140424836220511e-01,1.500620420780185427e-01,1.501177872305854699e-01
1.000000000000000021e-02,4.404350828321483557e-02,4.051635582268878905e-02,6.714102954358829034e-02,5.947676573162346408e-02,5.376102409824138478e-02,-1.884552985633208555e-01,7.990849627269862310e-02,-1.623137493786915367e-02,9.985467097061684338e-01,-1.446818247378352518e-01,1.034253832814235530e+01,2.249819388249777938e-02,2.255277970008186250e-02,2.249205293499894828e-02,2.251420809740209070e-02,1.501030908270167274e-01,1.502850729044721556e-01,1.500826038911789728e-01,1.501565030156973291e-01
1.250000000000000069e-02,4.397910486911390388e-02,4.058873451117017694e-02,6.720816668353855883e-02,5.961217945486518149e-02,5.440377673406252695e-02,-1.877307683555136109e-01,7.997275013647295316e-02,-1.499933820789728367e-02,9.981854099556570770e-01,-1.443579511976240126e-01,1.034267377927624665e+01,2.249765202554409801e-02,2.256588782681364161e-02,2.249005806099104929e-02,2.251758707908940033e-02,1.501284458537080202e-01,1.503559446806674582e-01,1.501031061800982003e-01,1.501949451469820895e-01
1.499999999999999944e-02,4.391468143641686500e-02,4.066111030854893671e-02,6.727508218036988563e-02,5.974597131949462708e-02,5.504600917765994916e-02,-1.870076051002615702e-01,8.003668435538394133e-02,-1.376776584164310889e-02,9.978249200721365231e-01,-1.440339313107805719e-01,1.034282523610990978e+01,2.249707410829556581e-02,2.257896126186886496e-02,2.248805998244715262e-02,2.252089684290572991e-02,1.501536336812148154e-01,1.504266577458935605e-01,1.501235488943733209e-01,1.502331134323750816e-01
1.750000000000000167e-02,4.385024001436892832e-02,4.073348275547845204e-02,6.734177638267778432e-02,5.987813055568989157e-02,5.568771599128057026e-02,-1.862857978566537787e-01,8.010029924749081931e-02,-1.253669359712131399e-02,9.974652404202238865e-01,-1.437097660801986976e-01,1.034299268008264683e+01,2.249646016694930792e-02,2.259200001855853068e-02,2.248605871860735392e-02,2.252413739313148880e-02,1.501786542490904652e-01,1.504972120327656981e-01,1.501439319837997444e-01,1.502710076882513290e-01
2.000000000000000042e-02,4.378578263121140485e-02,4.080585138754014990e-02,6.740824964000209640e-02,6.000864659268122930e-02,5.632889175272347282e-02,-1.855653357427552996e-01,8.016359513331616782e-02,-1.130615701944961797e-02,9.971063713620035296e-01,-1.433854565288614213e-01,1.034317609256226689e+01,2.249581023817393693e-02,2.260500410990456260e-02,2.248405428868669245e-02,2.252730873670603928e-02,1.502035074986840524e-01,1.505676074728400649e-01,1.501642553983758288e-01,1.503086277394008463e-01
2.249999999999999917e-02,4.372131131393919290e-02,4.087821573524617891e-02,6.747450230286097805e-02,6.013750906008647618e-02,5.696953105743965406e-02,-1.848462079359899091e-01,8.022657233587238146e-02,-1.007619143299914866e-02,9.967483132569784354e-01,-1.430610036995144663e-01,1.034337545484578236e+01,2.249512435910800551e-02,2.261797354864080248e-02,2.248204671187498116e-02,2.253041088321609126e-02,1.502281933731428876e-01,1.506378439966250538e-01,1.501845190883071279e-01,1.503459734190017993e-01
2.500000000000000139e-02,4.365682808805844417e-02,4.095057532404346862e-02,6.754053472278359616e-02,6.026470778918800036e-02,5.760962852061850270e-02,-1.841284036735010565e-01,8.028923118068681530e-02,-8.846831933705962686e-03,9.963910664620196922e-01,-1.427364086543378430e-01,1.034359074816010171e+01,2.249440256735832366e-02,2.263090834721404043e-02,2.248003600733666091e-02,2.253344384488356958e-02,1.502527118174149523e-01,1.507079215335927480e-01,1.502047230040108039e-01,1.503830445685923611e-01
2.750000000000000014e-02,4.359233497734389673e-02,4.102292967431812876e-02,6.760634725234107578e-02,6.039023281415364236e-02,5.824917877925824689e-02,-1.834119122524905110e-01,8.035157199582486365e-02,-7.618113381545563514e-03,9.960346313313195310e-01,-1.424116724746174734e-01,1.034382195366282708e+01,2.249364490099815470e-02,2.264380851778509396e-02,2.247802219421063744e-02,2.253640763655293325e-02,1.502770627782503698e-01,1.507778400121902729e-01,1.502248670961200128e-01,1.504198410380402917e-01
2.999999999999999889e-02,4.352783400359570148e-02,4.109527830140096566e-02,6.767194024517597661e-02,6.051407437320084626e-02,5.888817649422038031e-02,-1.826967230305338308e-01,8.041359511191144283e-02,-6.390070393175070924e-03,9.956790082163428091e-01,-1.420867962604153711e-01,1.034406905244305364e+01,2.249285139856530003e-02,2.265667407222993202e-02,2.247600529161013216e-02,2.253930227567795680e-02,1.503012462042029318e-01,1.508475993598514808e-01,1.502449513154880401e-01,1.504563626855114078e-01
3.250000000000000111e-02,4.346332718639674131e-02,4.116762071557384522e-02,6.773731405603022893e-02,6.063622290970526602e-02,5.952661635226636633e-02,-1.819828254258756828e-01,8.047530086215091971e-02,-5.162737334746298097e-03,9.953241974657812685e-01,-1.417617811302394892e-01,1.034433202552225950e+01,2.249202209906003141e-02,2.266950502214082341e-02,2.247398531862251220e-02,2.254212778230800865e-02,1.503252620456306254e-01,1.509171995030083868e-01,1.502649756131924919e-01,1.504926093774358320e-01
3.500000000000000333e-02,4.339881654286977669e-02,4.123995642207664569e-02,6.780246904077201486e-02,6.075666907325528304e-02,6.016449306807492708e-02,-1.812702089177019860e-01,8.053668958234527775e-02,-3.936148314891882959e-03,9.949701994255082393e-01,-1.414366282207127345e-01,1.034461085385522594e+01,2.249115704194293644e-02,2.268230137882753725e-02,2.247196229430913419e-02,2.254488417907381942e-02,1.503491102546961333e-01,1.509866403671029922e-01,1.502849399405394859e-01,1.505285809884729376e-01
3.749999999999999861e-02,4.333430408743466078e-02,4.131228492111528594e-02,6.786740555642034600e-02,6.087540372065199101e-02,6.080180138623986208e-02,-1.805588630463918209e-01,8.059776161091070090e-02,-2.710337177888275453e-03,9.946170144385326761e-01,-1.411113386862415664e-01,1.034490551833097882e+01,2.249025626713261825e-02,2.269506315331857801e-02,2.246993623770518825e-02,2.254757149117272985e-02,1.503727907853666390e-01,1.510559218765989697e-01,1.503048442490677317e-01,1.505642774014744611e-01
4.000000000000000083e-02,4.326979183156606790e-02,4.138460570787041992e-02,6.793212396116879437e-02,6.099241791685691694e-02,6.143853608324609944e-02,-1.798487774137469963e-01,8.065851728889232575e-02,-1.485337496997466821e-03,9.942646428449553042e-01,-1.407859136986845949e-01,1.034521599977383310e+01,2.248931981500329469e-02,2.270779035636244850e-02,2.246790716781952787e-02,2.255018974635348422e-02,1.503963035934133552e-01,1.511250439549934044e-01,1.503246884905524161e-01,1.505996985074463945e-01
4.250000000000000305e-02,4.320528178355149268e-02,4.145691827250708866e-02,6.799662461440747485e-02,6.110770293588760338e-02,6.207469196942349415e-02,-1.791399416832019642e-01,8.071895695997767517e-02,-2.611825679899331299e-04,9.939130849819266533e-01,-1.404603544470202081e-01,1.034554227894442668e+01,2.248834772638226218e-02,2.272048299842896121e-02,2.246587510363451390e-02,2.255273897490051721e-02,1.504196486364103025e-01,1.511940065248286724e-01,1.503444726170093115e-01,1.506348442055086556e-01
4.499999999999999833e-02,4.314077594824973494e-02,4.152922210018499677e-02,6.806090787674363984e-02,6.122125026166192613e-02,6.271026389087701325e-02,-1.784323455800122249e-01,8.077908097050806591e-02,9.620945971486221434e-04,9.935623411836027596e-01,-1.401346621370148648e-01,1.034588433654083239e+01,2.248734004254725888e-02,2.273314108971057068e-02,2.246384006410585138e-02,2.255521920961780363e-02,1.504428258737330881e-01,1.512628095077042933e-01,1.503641965806986058e-01,1.506697144028540936e-01
