R,zeta,Gamma_enclosed,dGamma_dR,material_viscous_dGamma_dt
6.239999999999999991e-01,5.214409771642153357e-01,8.532913795258850742e-01,2.044417618638447731e+00,-1.093471366311764281e-01
6.280000000000000027e-01,5.177237523298396926e-01,8.614659837414848642e-01,2.042855283956907630e+00,-1.099639815707089685e-01
6.320000000000000062e-01,5.140095285640545741e-01,8.696339882637933449e-01,2.041118018338351270e+00,-1.105702789362718319e-01
6.360000000000000098e-01,5.102986226970863681e-01,8.777946963467702091e-01,2.039207314145142558e+00,-1.111659301539694999e-01
6.400000000000000133e-01,5.065913488256383879e-01,8.859474172557061378e-01,2.037124684598745628e+00,-1.117508398408454812e-01
6.440000000000000169e-01,5.028880182753989736e-01,8.940914663496698500e-01,2.034871663284512078e+00,-1.123249158133050735e-01
6.480000000000000204e-01,4.991889395644541483e-01,9.022261651619720713e-01,2.032449803654503118e+00,-1.128880690944101123e-01
6.520000000000000240e-01,4.954944183676046610e-01,9.103508414786325442e-01,2.029860678528492279e+00,-1.134402139200494514e-01
6.560000000000000275e-01,4.918047574815933021e-01,9.184648294148510805e-01,2.027105879593344540e+00,-1.139812677439915045e-01
6.600000000000000311e-01,4.881202567912434342e-01,9.265674694894719954e-01,2.024187016900928615e+00,-1.145111512418239552e-01
6.640000000000000346e-01,4.844412132365121804e-01,9.346581086974379282e-01,2.021105718364737847e+00,-1.150297883137873789e-01
6.680000000000000382e-01,4.807679207804610444e-01,9.427361005802278315e-01,2.017863629255396418e+00,-1.155371060865089811e-01
6.720000000000000417e-01,4.771006703781433544e-01,9.508008052942746868e-01,2.014462411695203681e+00,-1.160330349136437095e-01
6.760000000000000453e-01,4.734397499464133019e-01,9.588515896773601721e-01,2.010903744151903094e+00,-1.165175083754302759e-01
6.800000000000000488e-01,4.697854443346559661e-01,9.668878273129822842e-01,2.007189320931833887e+00,-1.169904632771697622e-01
