t,sigma,b,core_radius_sqrt_b,peak_vorticity,numerical_Gamma,relative_Gamma_error
8.050000000007916157e+00,2.177558182929317798e+00,5.721562927586924807e-02,2.391978872730050887e-01,1.669001408596085412e+01,2.999999213501491457e+00,-2.621661695142070711e-07
8.100000000007799628e+00,2.180200578105357057e+00,5.509604071981694107e-02,2.347254581842730947e-01,1.733209221707110714e+01,2.999999183244262735e+00,-2.722519124217133721e-07
8.150000000007683099e+00,2.167007715612786711e+00,5.320933298474235518e-02,2.306714828164555531e-01,1.794665719311301544e+01,2.999999154283560898e+00,-2.819054797006022581e-07
8.200000000007566570e+00,2.139142717222356715e+00,5.156847874472098026e-02,2.270869409383132753e-01,1.851770076985502200e+01,2.999999127373757624e+00,-2.908754141254614170e-07
8.250000000007450041e+00,2.098226915683755411e+00,5.017864317309939093e-02,2.240058998622567465e-01,1.903059943763697959e+01,2.999999103203967898e+00,-2.989320107005255522e-07
8.300000000007333512e+00,2.046268675427988626e+00,4.903841882510529687e-02,2.214461984887193813e-01,1.947309235147064754e+01,2.999999082351973989e+00,-3.058826753369696108e-07
8.350000000007216983e+00,1.985577156912921692e+00,4.814101572077051500e-02,2.194106098637222113e-01,1.983609286705112495e+01,2.999999065245970709e+00,-3.115846764304801000e-07
8.400000000007100454e+00,1.918664651366375207e+00,4.747531371677225082e-02,2.178883055989289386e-01,2.011423587947794900e+01,2.999999052138785149e+00,-3.159537382835253538e-07
8.450000000006983925e+00,1.848141582902867786e+00,4.702673268313734001e-02,2.168564794585057798e-01,2.030610259457355227e+01,2.999999043097275386e+00,-3.189675748712280110e-07
8.500000000006867396e+00,1.776608573588371875e+00,4.677791705715188264e-02,2.162820312858927396e-01,2.041411244080549992e+01,2.999999038007429952e+00,-3.206641900158994632e-07
8.550000000006750867e+00,1.706550081558741327e+00,4.670926267261853171e-02,2.161232580557181371e-01,2.044411758850481675e+01,2.999999036593469892e+00,-3.211355100359488132e-07
8.600000000006634338e+00,1.640234048026627089e+00,4.679933482152792007e-02,2.163315391280890287e-01,2.040476990096234999e+01,2.999999038447687116e+00,-3.205174376278800410e-07
8.650000000006517809e+00,1.579621729109607520e+00,4.702523765118190452e-02,2.168530323771883650e-01,2.030674816860540233e+01,2.999999043066853499e+00,-3.189777155003052358e-07
8.700000000006401280e+00,1.526291453822785416e+00,4.736299683044511988e-02,2.176304133857331902e-01,2.016193489550347806e+01,2.999999049891021397e+00,-3.167029928678270481e-07
8.750000000006284750e+00,1.481379458560277751e+00,4.778801052460589921e-02,2.186046900791606962e-01,1.998262007705221066e+01,2.999999058341036751e+00,-3.138863210831270281e-07
8.800000000006168221e+00,1.445540225748941809e+00,4.827560880321413866e-02,2.197171108566971232e-01,1.978078955863512434e+01,2.999999067852079371e+00,-3.107159735430779493e-07
8.850000000006051692e+00,1.418927930411463700e+00,4.880173985287068056e-02,2.209111582805872720e-01,1.956753307218820126e+01,2.999999077901557509e+00,-3.073661474968976690e-07
8.900000000005935163e+00,1.401199707681358042e+00,4.934377485772607069e-02,2.221345872612504047e-01,1.935258624425756935e+01,2.999999088030692374e+00,-3.039897692088307521e-07
8.950000000005818634e+00,1.391540534218727920e+00,4.988139536415986397e-02,2.233414322604739266e-01,1.914400452473099534e+01,2.999999097859877839e+00,-3.007133740536478980e-07
9.000000000005702105e+00,1.388708605559828113e+00,5.039750159264778928e-02,2.244938787420445170e-01,1.894795631477655107e+01,2.999999107098434425e+00,-2.976338551915110328e-07
9.050000000005585576e+00,1.391099227884547984e+00,5.087906214262676724e-02,2.255638759700381857e-01,1.876861754791125492e+01,2.999999115549578210e+00,-2.948168072632502698e-07
9.100000000005469047e+00,1.396824462705330339e+00,5.131781891829699516e-02,2.265343658659696446e-01,1.860814973589804922e+01,2.999999123111449340e+00,-2.922961835534939054e-07
9.150000000005352518e+00,1.403805099266258960e+00,5.171076823019193913e-02,2.274000180962876261e-01,1.846674669965210924e+01,2.999999129774912454e+00,-2.900750291819538815e-07
9.200000000005235989e+00,1.409871009816129339e+00,5.206035962566292474e-02,2.281673938705154336e-01,1.834274033867110631e+01,2.999999135618576229e+00,-2.881271412569219592e-07
9.250000000005119460e+00,1.412865589169430613e+00,5.237438488564286065e-02,2.288545059325746700e-01,1.823276131331028438e+01,2.999999140801217656e+00,-2.863995941145465749e-07
9.300000000005002931e+00,1.410749806928110806e+00,5.266556521483271858e-02,2.294897932694016651e-01,1.813195500050241193e+01,2.999999145551603963e+00,-2.848161320123665519e-07
9.350000000004886402e+00,1.401701415665781880e+00,5.295087822227063923e-02,2.301105782493943486e-01,1.803425534403578112e+01,2.999999150155594041e+00,-2.832814686530109030e-07
9.400000000004769873e+00,1.384205060658849185e+00,5.325069159186394951e-02,2.307611136908988558e-01,1.793271843059543613e+01,2.999999154940410140e+00,-2.816865299533806719e-07
9.450000000004653344e+00,1.357129417918821135e+00,5.358778309684533031e-02,2.314903520599623787e-01,1.781991348336983094e+01,2.999999160256219710e+00,-2.799145934299455676e-07
9.500000000004536815e+00,1.319788031373115622e+00,5.398632539739934427e-02,2.323495758494070196e-01,1.768836184945037004e+01,2.999999166455446620e+00,-2.778481844600833028e-07
9.550000000004420286e+00,1.271981204266241061e+00,5.447090038783278937e-02,2.333900177553289990e-01,1.753100557824954819e+01,2.999999173870688374e+00,-2.753764372087630363e-07
9.600000000004303757e+00,1.214017095543912461e+00,5.506558549399787061e-02,2.346605750738667839e-01,1.734167810956008182e+01,2.999999182792538299e+00,-2.724024872335917280e-07
9.650000000004187228e+00,1.146711045801086515e+00,5.579312817047562406e-02,2.362056903854681256e-01,1.711554253838553663e+01,2.999999193448929180e+00,-2.688503569399832158e-07
9.700000000004070699e+00,1.071363072705826314e+00,5.667419981509668608e-02,2.380634365355097648e-01,1.684945992474341381e+01,2.999999205987781803e+00,-2.646707393990273558e-07
9.750000000003954170e+00,9.897143942959120144e-01,5.772670046180767428e-02,2.402638142996312287e-01,1.654225256098188268e+01,2.999999220464591776e+00,-2.598451360746878436e-07
9.800000000003837641e+00,9.038847216890499858e-01,5.896507374487381520e-02,2.428272508283899622e-01,1.619483531358068973e+01,2.999999236836248695e+00,-2.543879171016764631e-07
9.850000000003721112e+00,8.162928735308764283e-01,6.039958933797693469e-02,2.457632790674329770e-01,1.581020117881743836e+01,2.999999254961711159e+00,-2.483460962802534469e-07
9.900000000003604583e+00,7.295639689343873524e-01,6.203555798703605517e-02,2.490693838813515248e-01,1.539326298557561934e+01,2.999999274609466138e+00,-2.417968446207415254e-07
9.950000000003488054e+00,6.464270241966881825e-01,6.387246231159927901e-02,2.527300186198688792e-01,1.495056905576593564e+01,2.999999295470932026e+00,-2.348430226580452136e-07
1.000000000000337153e+01,5.696071873583370415e-01,6.590301408664443750e-02,2.567158236000353089e-01,1.448992389476907228e+01,2.999999317178329683e+00,-2.276072234389895648e-07
1.005000000000325500e+01,5.017170765282898959e-01,6.811218428619469911e-02,2.609831111129505832e-01,1.401995353047166581e+01,2.999999339325167380e+00,-2.202249442066298861e-07
1.010000000000313847e+01,4.451517330711005638e-01,7.047629306834021778e-02,2.654737144584002340e-01,1.354965786332413202e+01,2.999999361487334149e+00,-2.128375552838216726e-07
1.015000000000302194e+01,4.019915572955961025e-01,7.296228855535369373e-02,2.701153245474119391e-01,1.308798939094273983e+01,2.999999383242953677e+00,-2.055856821077857994e-07
1.020000000000290541e+01,3.739172681462569758e-01,7.552737887239202585e-02,2.748224497241665287e-01,1.264348998744921637e+01,2.999999404189499952e+00,-1.986035000160294721e-07
1.025000000000278888e+01,3.621404331790953890e-01,7.811920241970080059e-02,2.794981259681373897e-01,1.222400676111548812e+01,2.999999423957186107e+00,-1.920142712978171466e-07
1.030000000000267235e+01,3.673524714816878145e-01,8.067671654669811288e-02,2.840364704517680527e-01,1.183649632045486300e+01,2.999999442218189927e+00,-1.859272700244218868e-07
1.035000000000255582e+01,3.896942670649200524e-01,8.313194541620277933e-02,2.883261094944451486e-01,1.148691581521983807e+01,2.999999458691786636e+00,-1.804360711214295925e-07
1.040000000000243929e+01,4.287476755929641170e-01,8.541264875334303452e-02,2.922544246942089252e-01,1.118019020003751329e+01,2.999999473145893880e+00,-1.756180353732853809e-07
1.045000000000232276e+01,4.835492988584037533e-01,8.744585682128705462e-02,2.957124563174284848e-01,1.092023902862499440e+01,2.999999485395806076e+00,-1.715347313080428648e-07
1.050000000000220624e+01,5.526259771352000083e-01,8.916207599806312556e-02,2.986001942364792106e-01,1.071004289505457585e+01,2.999999495301068464e+00,-1.682329771786802149e-07
1.055000000000208971e+01,6.340505481004997668e-01,9.049982681704923926e-02,3.008318912898850783e-01,1.055172912630892590e+01,2.999999502761430126e+00,-1.657461899580899563e-07
1.060000000000197318e+01,7.255155800995455317e-01,9.141006253686996541e-02,3.023409706554339160e-01,1.044665797232338811e+01,2.999999507712792557e+00,-1.640957358143661231e-07
1.065000000000185665e+01,8.244220422957180272e-01,9.185996187307229888e-02,3.030840838333024312e-01,1.039549373938178078e+01,2.999999510123851021e+00,-1.632920496597023430e-07
1.070000000000174012e+01,9.279792558547292902e-01,9.183561659659311704e-02,3.030439185936472657e-01,1.039824954566480919e+01,2.999999509993986013e+00,-1.633353379955811697e-07
1.075000000000162359e+01,1.033312004603783807e+00,9.134324875388508125e-02,3.022304563638236186e-01,1.045429926763751283e+01,2.999999507352704597e+00,-1.642157651341828177e-07
1.080000000000150706e+01,1.137570390037531576e+00,9.040877791618324999e-02,3.006805246705932522e-01,1.056235556503898820e+01,2.999999502260670692e+00,-1.659131097693962993e-07
1.085000000000139053e+01,1.238037906361786344e+00,8.907578197128909747e-02,2.984556616505860682e-01,1.072041847310602236e+01,2.999999494812130241e+00,-1.683959565864275583e-07
1.090000000000127400e+01,1.332233291004065512e+00,8.740211093113420260e-02,2.956384801258696293e-01,1.092570474989762452e+01,2.999999485138240551e+00,-1.716205864828642398e-07
1.095000000000115747e+01,1.418001971300197450e+00,8.545557903404889244e-02,2.923278622267280191e-01,1.117457361292806972e+01,2.999999473410568829e+00,-1.755298103904105182e-07
1.100000000000104095e+01,1.493593367745885470e+00,8.330924625235021364e-02,2.886334115315657978e-01,1.146246907166601225e+01,2.999999459843812222e+00,-1.800520625927504170e-07
1.105000000000092442e+01,1.557720909839469314e+00,8.103679668932615987e-02,2.846696272687448959e-01,1.178390185155420333e+01,2.999999444696646478e+00,-1.851011178407210018e-07
1.110000000000080789e+01,1.609602347168963998e+00,7.870843966664664570e-02,2.805502444601441492e-01,1.213249382907067719e+01,2.999999428269632507e+00,-1.905767891644908622e-07
1.115000000000069136e+01,1.648978765563884119e+00,7.638762629455367326e-02,2.763831150677509840e-01,1.250110397290165665e+01,2.999999410899284236e+00,-1.963669052547819256e-07
1.120000000000057483e+01,1.676111611185932215e+00,7.412872301776952944e-02,2.722659049858603408e-01,1.288204652226997204e+01,2.999999392947785726e+00,-2.023507380914205960e-07
1.125000000000045830e+01,1.691757946963969639e+00,7.197564431061577450e-02,2.682827693136772829e-01,1.326739993365406178e+01,2.999999374788429485e+00,-2.084038568384016799e-07
1.130000000000034177e+01,1.697125077191869558e+00,6.996134049959350232e-02,2.645020614278714710e-01,1.364939053100219546e+01,2.999999356787541593e+00,-2.144041528021981839e-07
1.135000000000022524e+01,1.693806539235969799e+00,6.810797318366969277e-02,2.609750432199786085e-01,1.402082038142835785e+01,2.999999339284318278e+00,-2.202385605739228531e-07
1.140000000000010871e+01,1.683702240002229455e+00,6.642758895722315760e-02,2.577355019341013298e-01,1.437549779454302445e+01,2.999999322570534144e+00,-2.258098219520832117e-07
1.144999999999999218e+01,1.668926176492870450e+00,6.492311389959813661e-02,2.548001450148687508e-01,1.470862380427632132e+01,2.999999306872336291e+00,-2.310425545696640774e-07
1.149999999999987566e+01,1.651705696745062291e+00,6.358952490484121034e-02,2.521696351760877586e-01,1.501709062900501657e+01,2.999999292336176016e+00,-2.358879413281537445e-07
1.154999999999975913e+01,1.634276608062324554e+00,6.241509747302197847e-02,2.498301372393290365e-01,1.529965821112634927e+01,2.999999279020488796e+00,-2.403265037346595237e-07
1.159999999999964260e+01,1.618778609065929297e+00,6.138267297724209204e-02,2.477552683137980993e-01,1.555699047034684668e+01,2.999999266893988104e+00,-2.443686706321557267e-07
1.164999999999952607e+01,1.607155503636480631e+00,6.047092429202517022e-02,2.459083656405881002e-01,1.579155056304153426e+01,2.999999255840600565e+00,-2.480531331450208654e-07
1.169999999999940954e+01,1.601064449093332787e+00,5.965562248255624339e-02,2.442450050309243059e-01,1.600737061842914599e+01,2.999999245670316395e+00,-2.514432278684826669e-07
1.174999999999929301e+01,1.601798106626278972e+00,5.891091702666610003e-02,2.427157123605023226e-01,1.620972320154381663e+01,2.999999236134673897e+00,-2.546217753677619258e-07
1.179999999999917648e+01,1.610223015188473994e+00,5.821063801713680791e-02,2.412688086287508582e-01,1.640472757351065880e+01,2.999999226945305519e+00,-2.576848981602116182e-07
1.184999999999905995e+01,1.626736823727727099e+00,5.752961321065525047e-02,2.398533160301421496e-01,1.659892367179180539e+01,2.999999217794027562e+00,-2.607353241460922946e-07
1.190019999999894296e+01,1.651359689296312494e+00,5.684219650073254332e-02,2.384160156129041253e-01,1.679966147224915218e+01,2.999999208334478418e+00,-2.638885071940914586e-07
1.195019999999882643e+01,1.683307813740780201e+00,5.613446685990091528e-02,2.369271340726952502e-01,1.701146749883031717e+01,2.999999198353351382e+00,-2.672155495394197841e-07
