m,q,required_back_area_factor_per_generation,J_required_half_log_factor,log_scale_contraction,extra_J_over_contraction
2.000000000000000000e+00,2.000000000000000111e-01,4.999999999999999289e+01,1.956011502714072980e+00,1.609437912434100282e+00,3.465735902799726986e-01
2.000000000000000000e+00,1.000000000000000056e-01,1.999999999999999716e+02,2.649158683274018156e+00,2.302585092994045457e+00,3.465735902799726986e-01
3.000000000000000000e+00,8.000000000000000167e-02,4.687500000000000000e+02,3.075034788642310168e+00,2.525728644308255610e+00,5.493061443340545580e-01
4.000000000000000000e+00,4.000000000000000083e-02,2.500000000000000000e+03,3.912023005428145961e+00,3.218875824868200564e+00,6.931471805599453972e-01
