s,rho,L,reach,curv_radius,half_nonlocal_sep,eps_over_reach
0.0,-0.175707124215354,10.34215694928354,0.04038652746614087,0.04038652746614087,0.06119789170402739,0.24760732420938567
0.015,-0.09332690158418828,10.41233373922008,0.0955640377243298,0.0955640377243298,0.11226866311589191,0.1046418740577564
0.03,-0.09182751621359056,10.42028558172064,0.09624700475610758,0.09624700475610758,0.11272938260248566,0.10389933718291038
0.045,-0.09032870291741048,10.433237005644548,0.09664336005480434,0.09664336005480434,0.11337347057800125,0.1034732235544089
0.06,-0.08882563415491598,10.447337902845888,0.09713533826129168,0.09713533826129168,0.11405566928629607,0.10294914476027504
0.07499999999999998,-0.08732836987636472,10.462341054344103,0.09774658581902354,0.09774658581902354,0.11476651475653483,0.10230536357059941
0.08999999999999998,-0.08584088341399113,10.47816447724119,0.09848824992580242,0.09848824992580242,0.11550133646288578,0.10153495475382747
0.105,-0.084366673887088,10.494755419073652,0.09937091045817707,0.09937091045817707,0.11625865011411594,0.10063307213240005
0.12,-0.08290887278701005,10.512069654238024,0.10040826261040518,0.10040826261040518,0.11703953556534348,0.09959339739599989
0.135,-0.0814697036677159,10.53006831521274,0.10161892032926799,0.10161892032926799,0.11784751259903546,0.09840687115743572
0.15,-0.08005007494012673,10.548717589637368,0.10302772237108693,0.10302772237108693,0.11750632504937614,0.09706125467844312
0.165,-0.07864945085578881,10.567988608791632,0.10466674236756258,0.10466674236756258,0.11561684682076391,0.09554133217295119
0.18,-0.07726599753585926,10.587857318059443,0.10657596351502333,0.10657596351502333,0.11388665614226642,0.0938297874134665
0.195,-0.0758969300019029,10.608304706656218,0.10880357344028208,0.10880357344028208,0.11235949088037205,0.09190874604397621
0.21,-0.07453894806156301,10.629317813103938,0.11106568767359908,0.11140587926911912,0.11106568767359908,0.09003680803191079
0.225,-0.0731886384417701,10.650891710749788,0.11002316163312649,0.11163964771207159,0.11002316163312649,0.09088995309319611
0.24,-0.0718427349061184,10.673032335491882,0.1092389014744508,0.11074205962631856,0.1092389014744508,0.09154248042615878
0.255,-0.07049816215580311,10.695759672028304,0.10871101559255118,0.10976466396880591,0.10871101559255118,0.0919869982401783
0.27,-0.06915183388656806,10.719110615906986,0.1079780150018088,0.10870778155418902,0.1079780150018088,0.0926114450226973
0.28500000000000003,-0.067800219420661,10.743140904300414,0.10482308654138933,0.10757283135768836,0.10482308654138933,0.09539883178360242
0.3,-0.06643873093472893,10.767925891032922,0.10169722997338358,0.10636241887428316,0.10169722997338358,0.0983310951794579
0.315,-0.06506101777224742,10.793560507223498,0.09865035702354417,0.10508053532050263,0.09865035702354417,0.1013681075438315
