s,rho,reach,curv_radius,half_nonlocal_sep
0.000000000000000000e+00,-2.064379385766469954e-01,2.428377187484772465e-02,2.428377187484772465e-02,4.837357073209221786e-02
1.499999999999999944e-02,-1.250978260744405879e-01,5.770989072042431722e-02,5.770989072042431722e-02,9.798456774100915145e-02
2.999999999999999889e-02,-1.250994093554603226e-01,5.853195785266836204e-02,5.853195785266836204e-02,9.908654614139775219e-02
4.499999999999999833e-02,-1.249081937752398314e-01,5.989562711283161894e-02,5.989562711283161894e-02,9.991752226736454190e-02
5.999999999999999778e-02,-1.245906212253264644e-01,6.169978001455437427e-02,6.169978001455437427e-02,1.000993919671325644e-01
7.499999999999999722e-02,-1.243791312611254585e-01,6.379806652717455451e-02,6.379806652717455451e-02,9.969685488782067950e-02
8.999999999999999667e-02,-1.244420558661346876e-01,6.603222449080672907e-02,6.603222449080672907e-02,9.924135410731177442e-02
1.049999999999999961e-01,-1.248046031165065683e-01,6.811688014933250934e-02,6.811688014933250934e-02,9.921974815355885657e-02
1.199999999999999956e-01,-1.253652971790560344e-01,6.962201320587334263e-02,6.962201320587334263e-02,9.976033938663626810e-02
1.350000000000000089e-01,-1.259908783277605138e-01,7.014722266251192939e-02,7.014722266251192939e-02,9.874111504570542985e-02
1.499999999999999944e-01,-1.265926646035271941e-01,6.959891011421708018e-02,6.959891011421708018e-02,9.706218175979715312e-02
1.650000000000000078e-01,-1.271188092609295828e-01,6.832058812339021625e-02,6.832058812339021625e-02,9.555887808265937922e-02
1.799999999999999933e-01,-1.275138578233767639e-01,6.696079150435066407e-02,6.696079150435066407e-02,9.423021345781779079e-02
1.950000000000000067e-01,-1.277294307918465377e-01,6.622766365237529873e-02,6.622766365237529873e-02,9.307063843833032757e-02
2.099999999999999922e-01,-1.277676189091995484e-01,6.669165877506608164e-02,6.669165877506608164e-02,9.212574828543658445e-02
2.250000000000000056e-01,-1.276825917727873183e-01,6.869236408795915960e-02,6.869236408795915960e-02,9.145293257933098663e-02
2.399999999999999911e-01,-1.275356566107763157e-01,6.791581173933744497e-02,6.791581173933744497e-02,9.102215483336627277e-02
2.550000000000000044e-01,-1.273528668096700067e-01,6.273943032655897312e-02,6.273943032655897312e-02,9.069652027011125550e-02
2.700000000000000178e-01,-1.271027253532050483e-01,5.757496602774136996e-02,5.757496602774136996e-02,9.031402525696477501e-02
2.850000000000000311e-01,-1.266815368094347805e-01,5.255651854874651696e-02,5.255651854874651696e-02,8.983577177627032062e-02
2.999999999999999889e-01,-1.259142932682359717e-01,4.819446387996820236e-02,4.819446387996820236e-02,8.966246525757097519e-02
3.150000000000000022e-01,-1.246348376615454556e-01,4.639535580672585202e-02,4.639535580672585202e-02,8.304970346161583139e-02
3.300000000000000155e-01,-1.229334488805911840e-01,5.043243957946082212e-02,5.043243957946082212e-02,7.430443249894432001e-02
3.450000000000000289e-01,-1.207632733310372020e-01,4.997285259269618196e-02,4.997285259269618196e-02,6.815493913368191048e-02
3.599999999999999867e-01,-1.181770816846656746e-01,3.901991091842464676e-02,3.901991091842464676e-02,6.574958564052590937e-02
3.750000000000000000e-01,-1.145885143579863374e-01,3.817359053379375255e-02,3.817359053379375255e-02,5.258642548892699525e-02
3.900000000000000133e-01,-1.090235716599660953e-01,4.230168170672648359e-02,4.230168170672648359e-02,4.330970479319035116e-02
4.050000000000000266e-01,-1.008220346740986983e-01,3.079263873799598442e-02,4.258914223071791350e-02,3.079263873799598442e-02
4.199999999999999845e-01,-8.809774647496791677e-02,2.807502548282183111e-02,3.650722225152611827e-02,2.807502548282183111e-02
4.349999999999999978e-01,-7.566284242489385026e-02,2.757353460750668062e-02,4.165225742274245718e-02,2.757353460750668062e-02
4.500000000000000111e-01,-6.321952120899980432e-02,2.576701333526412036e-02,4.490820754460597697e-02,2.576701333526412036e-02
4.650000000000000244e-01,-3.027750386819875669e-02,1.892764870776924083e-02,5.499422761733741699e-02,1.892764870776924083e-02
4.799999999999999822e-01,2.931614288741492616e-02,1.702443567122647813e-02,5.586067820882755636e-02,1.702443567122647813e-02
4.949999999999999956e-01,1.016604896542773612e-01,1.443648627193166306e-02,4.811716231524082454e-02,1.443648627193166306e-02
5.100000000000000089e-01,9.453192397043956585e-02,1.725303785190366451e-02,5.646809634920377241e-02,1.725303785190366451e-02
5.250000000000000222e-01,1.691459076827005747e-01,1.991430650432289562e-02,6.392775147577006711e-02,1.991430650432289562e-02
5.400000000000000355e-01,2.719572301320012930e-01,2.027082811002818910e-02,7.439689793355026837e-02,2.027082811002818910e-02
5.550000000000000488e-01,3.778711316186083025e-01,1.983536804905464135e-02,7.853427064967857807e-02,1.983536804905464135e-02
5.700000000000000622e-01,4.638093167671039074e-01,1.785113592827475629e-02,7.203495192679057468e-02,1.785113592827475629e-02
5.849999999999999645e-01,5.654454390560840205e-01,2.234064317921310647e-02,8.492950810853969190e-02,2.234064317921310647e-02
5.999999999999999778e-01,8.463718033730749379e-01,1.897442754390758074e-02,9.146407434022083005e-02,1.897442754390758074e-02
6.149999999999999911e-01,6.082415492868669116e-01,2.011279079523238533e-02,7.564530140107321443e-02,2.011279079523238533e-02
6.300000000000000044e-01,7.327836589793876865e-01,1.085940480812644555e-02,7.127299886577539989e-02,1.085940480812644555e-02
6.450000000000000178e-01,7.936658276919648092e-01,5.607332377376986893e-03,7.284892899230555052e-02,5.607332377376986893e-03
6.600000000000000311e-01,6.306945175769463896e-01,1.594754737374174530e-02,6.915627554127558307e-02,1.594754737374174530e-02
6.750000000000000444e-01,9.404896363720715025e-01,1.304053861828312344e-02,1.086459849339515699e-01,1.304053861828312344e-02
6.900000000000000577e-01,5.011554791010289778e-01,2.237325822609876128e-02,1.029806008155135094e-01,2.237325822609876128e-02
7.049999999999999600e-01,7.528829964843672951e-01,2.006106758597897555e-02,8.358188131685610756e-02,2.006106758597897555e-02
7.199999999999999734e-01,1.068022157364193703e+00,1.759972762292677517e-02,1.343601111049219921e-01,1.759972762292677517e-02
7.349999999999999867e-01,6.676280443566220413e-01,2.247418180946690602e-02,8.852622947231413020e-02,2.247418180946690602e-02
7.500000000000000000e-01,8.287045144174758349e-01,1.336896543731876455e-02,9.665770549677100976e-02,1.336896543731876455e-02
7.650000000000000133e-01,6.283092527504692271e-01,2.498492377555806485e-02,1.240138086934024497e-01,2.498492377555806485e-02
7.800000000000000266e-01,7.587495978736007451e-01,1.894120006809566631e-02,1.224645601739761391e-01,1.894120006809566631e-02
7.950000000000000400e-01,9.317489512020771247e-01,1.737898877176674919e-02,1.402511746011554095e-01,1.737898877176674919e-02
8.100000000000000533e-01,4.137067742108992974e-01,1.450334291201702160e-02,1.116897268368617357e-01,1.450334291201702160e-02
8.250000000000000666e-01,5.647664929708856585e-01,2.947945191326578618e-02,1.290612653736200599e-01,2.947945191326578618e-02
8.399999999999999689e-01,1.029623288827254957e+00,1.437586519158703252e-02,1.426226555725091383e-01,1.437586519158703252e-02
8.549999999999999822e-01,6.622646414205157761e-01,1.987093148722766239e-02,1.742087181648727390e-01,1.987093148722766239e-02
8.699999999999999956e-01,7.571271773117042025e-01,1.611615827123022773e-02,9.553991554803790975e-02,1.611615827123022773e-02
8.850000000000000089e-01,6.932996499648140798e-01,2.904972329377579834e-02,1.469908391126064084e-01,2.904972329377579834e-02
9.000000000000000222e-01,8.349810827562776927e-01,1.314987233020048149e-02,1.419836448254497840e-01,1.314987233020048149e-02
9.150000000000000355e-01,7.642657095764880948e-01,1.210024537153479678e-02,1.250334158783949490e-01,1.210024537153479678e-02
9.300000000000000488e-01,9.486707962580898101e-01,2.698501251768490108e-02,9.992308090150606170e-02,2.698501251768490108e-02
9.450000000000000622e-01,8.494659234361495725e-01,2.418182112669513967e-02,9.153768469053331913e-02,2.418182112669513967e-02
9.599999999999999645e-01,7.204181453899670684e-01,2.674188108426989521e-02,9.565749181812591151e-02,2.674188108426989521e-02
9.749999999999999778e-01,7.090861625592598250e-01,2.144107535029337111e-02,2.019624195096972330e-01,2.144107535029337111e-02
9.899999999999999911e-01,7.342201883073489199e-01,2.034971830696435599e-02,1.094846845908994254e-01,2.034971830696435599e-02
1.005000000000000115e+00,6.678178365384696002e-01,2.453815672387910790e-02,1.343458868371207593e-01,2.453815672387910790e-02
1.020000000000000018e+00,1.089247476130737802e+00,1.558988787913864228e-02,2.232634302296702400e-01,1.558988787913864228e-02
1.034999999999999920e+00,8.730163702898166012e-01,1.827276655538975780e-02,1.393944378285651153e-01,1.827276655538975780e-02
1.050000000000000044e+00,8.263924104730371312e-01,3.889122547080123976e-02,1.799097823276979702e-01,3.889122547080123976e-02
1.064999999999999947e+00,7.138372312480452120e-01,3.742501032904234359e-02,1.750703374499920362e-01,3.742501032904234359e-02
1.080000000000000071e+00,8.766371273999620239e-01,2.361512563192780592e-02,1.689851958313949298e-01,2.361512563192780592e-02
1.094999999999999973e+00,5.742763015210265998e-01,1.746343342022647210e-02,1.825062497249373139e-01,1.746343342022647210e-02
1.110000000000000098e+00,5.464888197585642260e-01,3.547874324935389873e-02,1.588749551671766735e-01,3.547874324935389873e-02
1.125000000000000000e+00,1.033807425730257190e+00,1.915684889559738160e-02,1.530927466577618190e-01,1.915684889559738160e-02
1.140000000000000124e+00,8.828718984871517517e-01,1.958433012715747601e-02,1.583592516144868290e-01,1.958433012715747601e-02
1.155000000000000027e+00,9.221657566678503892e-01,2.293751354949230895e-02,9.044211073468452766e-02,2.293751354949230895e-02
1.169999999999999929e+00,7.109527965540901606e-01,2.122300849476591381e-02,2.497502850684127362e-01,2.122300849476591381e-02
1.185000000000000053e+00,1.199167055196770804e+00,2.271732643156849224e-03,1.462765733353717512e-01,2.271732643156849224e-03
1.199999999999999956e+00,9.320365140152006012e-01,2.558927715547126489e-02,2.177721589123355339e-01,2.558927715547126489e-02
1.215000000000000080e+00,8.343674148841955240e-01,2.577108685538054972e-02,1.649441613063443723e-01,2.577108685538054972e-02
1.229999999999999982e+00,5.057061216306294460e-01,4.309928490012381735e-02,1.432562845805128715e-01,4.309928490012381735e-02
1.245000000000000107e+00,8.674420165340712696e-01,3.238911403119541094e-02,1.353342817660295183e-01,3.238911403119541094e-02
1.260000000000000009e+00,5.334701873919982518e-01,4.004762839837305854e-02,1.767080776890320448e-01,4.004762839837305854e-02
1.275000000000000133e+00,8.668340809853027906e-01,3.643277863711129327e-02,1.892281145670715592e-01,3.643277863711129327e-02
1.290000000000000036e+00,6.972623503127591826e-01,2.040298771868899116e-02,2.211604165755458040e-01,2.040298771868899116e-02
1.304999999999999938e+00,7.938326380723136344e-01,3.091344074085696642e-02,1.509522841932245119e-01,3.091344074085696642e-02
1.320000000000000062e+00,8.120961084067908065e-01,2.301996598356802204e-02,8.489347271063560352e-02,2.301996598356802204e-02
1.334999999999999964e+00,5.390672033187872136e-01,2.081526306895602543e-02,1.182120295110817565e-01,2.081526306895602543e-02
1.350000000000000089e+00,7.333538456090991087e-01,1.349379495156516513e-02,2.215929451953740359e-01,1.349379495156516513e-02
1.364999999999999991e+00,9.460429018494938003e-01,2.429088377939452384e-02,2.322215882030046752e-01,2.429088377939452384e-02
1.380000000000000115e+00,7.016322499099377774e-01,2.384286083811163262e-02,2.286907895500276677e-01,2.384286083811163262e-02
1.395000000000000018e+00,6.496365462494575471e-01,1.243717644028808494e-02,1.658759898858409576e-01,1.243717644028808494e-02
1.409999999999999920e+00,7.685418191685631228e-01,2.218821937117689339e-02,1.235458905693306159e-01,2.218821937117689339e-02
1.425000000000000044e+00,5.971287108184086811e-01,2.047245733439072984e-02,1.305633566187467121e-01,2.047245733439072984e-02
1.439999999999999947e+00,4.155675202256544631e-01,4.179694047046681599e-02,2.036755780072474764e-01,4.179694047046681599e-02
1.455000000000000071e+00,1.012734838939050475e+00,9.528767168593549330e-03,1.427593735416919085e-01,9.528767168593549330e-03
1.469999999999999973e+00,6.900953686827469014e-01,2.153536375105201753e-02,1.554302865150488100e-01,2.153536375105201753e-02
1.485000000000000098e+00,5.450927348327605504e-01,1.053823366902820365e-02,2.755074273415288322e-01,1.053823366902820365e-02
1.500000000000000000e+00,4.223929594569107993e-01,2.216271655347399824e-02,2.428662011777119045e-01,2.216271655347399824e-02
1.515000000000000124e+00,7.649318146781788341e-01,2.197599507750957332e-02,2.757437598523702627e-01,2.197599507750957332e-02
1.530000000000000027e+00,7.366157907724755205e-01,2.899545528293974786e-02,1.885714996020696754e-01,2.899545528293974786e-02
1.544999999999999929e+00,6.940553510629822176e-01,2.847440928691504641e-02,1.566064271094525229e-01,2.847440928691504641e-02
1.560000000000000053e+00,3.318607184501883300e-01,3.003179037935512635e-02,1.458959377515232636e-01,3.003179037935512635e-02
1.574999999999999956e+00,1.007314508127617136e+00,2.937636676181664200e-02,2.410032471895864892e-01,2.937636676181664200e-02
1.590000000000000080e+00,4.929443188525809427e-01,3.153496809231853132e-02,2.852243621883251978e-01,3.153496809231853132e-02
1.604999999999999982e+00,6.376858326910413988e-01,3.096145967946770453e-02,2.281943068373100680e-01,3.096145967946770453e-02
1.620000000000000107e+00,8.533874350565244793e-01,3.935627762140053026e-02,2.022974536728159023e-01,3.935627762140053026e-02
1.635000000000000009e+00,4.675993112070818691e-01,3.411862675117306731e-02,2.023020349314224309e-01,3.411862675117306731e-02
1.650000000000000133e+00,4.930832160360596461e-01,2.986308955304572271e-02,2.604812303904251447e-01,2.986308955304572271e-02
1.665000000000000036e+00,4.755548811965904510e-01,4.343743421871980315e-02,2.475097532519155707e-01,4.343743421871980315e-02
1.679999999999999938e+00,7.232469328039289325e-01,2.768394027697928389e-02,2.333415415982206531e-01,2.768394027697928389e-02
1.695000000000000062e+00,8.090288977146560256e-01,2.568464459933652785e-02,2.062389030129599121e-01,2.568464459933652785e-02
1.709999999999999964e+00,9.821180942800757929e-01,3.534361959482745785e-02,1.762014176735482163e-01,3.534361959482745785e-02
1.725000000000000089e+00,8.224245347725481770e-01,3.375211642784884530e-02,1.935338182621878789e-01,3.375211642784884530e-02
1.739999999999999991e+00,9.563928400070775826e-01,2.003028670232027270e-02,1.792139442483814682e-01,2.003028670232027270e-02
1.755000000000000115e+00,7.192432381977299505e-01,2.615656816031366669e-02,1.218643784109033346e-01,2.615656816031366669e-02
1.770000000000000018e+00,6.413421410510901088e-01,4.009369731390691194e-02,1.865134144471745081e-01,4.009369731390691194e-02
1.785000000000000142e+00,5.211413508879295664e-01,3.775079969050167128e-02,2.275533219442057442e-01,3.775079969050167128e-02
1.800000000000000044e+00,8.901831780629125834e-01,2.724636931177651725e-02,2.510930323875952275e-01,2.724636931177651725e-02
1.814999999999999947e+00,1.178949243822418724e+00,3.597816641881921434e-02,2.782043772298369300e-01,3.597816641881921434e-02
1.830000000000000071e+00,9.576472707246918015e-01,2.571033980711670899e-02,2.888839363754976963e-01,2.571033980711670899e-02
1.844999999999999973e+00,1.242644676461596820e+00,3.204078232867624276e-02,1.873757903605880737e-01,3.204078232867624276e-02
1.860000000000000098e+00,6.758639936414627680e-01,2.435843932348043597e-02,2.089974878794203794e-01,2.435843932348043597e-02
