d_over_a,min_Re_source_scaling_Cgeom1
1.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000000e+00,1.600000000000000000e+01
4.000000000000000000e+00,6.400000000000000000e+01
8.000000000000000000e+00,2.560000000000000000e+02
1.600000000000000000e+01,1.024000000000000000e+03
3.200000000000000000e+01,4.096000000000000000e+03
6.400000000000000000e+01,1.638400000000000000e+04
