Re_parent,m,ell_grad_over_delta,tau_diff_ell_over_tau_nl,Re_sub_if_parent_amplitude,Re_target_next,required_vorticity_amplitude_boost,log_boost
3.162277660168379523e+00,2.000000000000000000e+00,3.162277660168379412e-01,3.162277660168379412e-01,3.162277660168379412e-01,6.324555320336759046e+00,2.000000000000000000e+01,2.995732273553990854e+00
3.162277660168379523e+00,4.000000000000000000e+00,3.162277660168379412e-01,3.162277660168379412e-01,3.162277660168379412e-01,1.264911064067351809e+01,4.000000000000000000e+01,3.688879454113936252e+00
3.548133892335755046e+00,1.000000000000000000e+00,2.818382931264453717e-01,2.818382931264453717e-01,2.818382931264453717e-01,3.548133892335755046e+00,1.258925411794167459e+01,2.532843602293450402e+00
3.548133892335755046e+00,2.000000000000000000e+00,2.818382931264453717e-01,2.818382931264453717e-01,2.818382931264453717e-01,7.096267784671510093e+00,2.517850823588334919e+01,3.225990782853395800e+00
3.548133892335755046e+00,4.000000000000000000e+00,2.818382931264453717e-01,2.818382931264453717e-01,2.818382931264453717e-01,1.419253556934302019e+01,5.035701647176669837e+01,3.919137963413341197e+00
3.981071705534973137e+00,1.000000000000000000e+00,2.511886431509579576e-01,2.511886431509579576e-01,2.511886431509579576e-01,3.981071705534973137e+00,1.584893192461113998e+01,2.763102111592855348e+00
3.981071705534973137e+00,2.000000000000000000e+00,2.511886431509579576e-01,2.511886431509579576e-01,2.511886431509579576e-01,7.962143411069946275e+00,3.169786384922227995e+01,3.456249292152800301e+00
3.981071705534973137e+00,4.000000000000000000e+00,2.511886431509579576e-01,2.511886431509579576e-01,2.511886431509579576e-01,1.592428682213989255e+01,6.339572769844455991e+01,4.149396472712745698e+00
4.466835921509631824e+00,1.000000000000000000e+00,2.238721138568339208e-01,2.238721138568339208e-01,2.238721138568339208e-01,4.466835921509631824e+00,1.995262314968880091e+01,2.993360620892259849e+00
4.466835921509631824e+00,2.000000000000000000e+00,2.238721138568339208e-01,2.238721138568339208e-01,2.238721138568339208e-01,8.933671843019263648e+00,3.990524629937760182e+01,3.686507801452204802e+00
